부서명,소속,직위,전화번호,담당업무
감사담당관,감사팀,주무관,02-3423-5126,○ 복지생활국・도시환경국 감사총괄 및 징계・소송업무 ○ 감사 사전컨설팅 및 적극행정 면책제도 운영 ○ 감사사례 교육 및 감사사례집 발간 ○ 구청장(부구청장) 특명사항(특정감사・조사・점검 등) 처리
감사담당관,감사팀,주무관,02-3423-5013,○ 부구청장 비서 업무
감사담당관,감사팀,주무관,02-3423-5122,"○ 예산, 재무, 회계, 기록물관리, 물품관리 ○ 보안, 사회복무요원 관리 ○ 구의회 관련 업무(행정사무감사, 예산편성 및 추경, 결산 등) ○ 부서 주요업무(공약, 역점) 및 각종 요구 자료 작성 등 ○ 기타 타 팀원에 속하지 아니하는 업무 ○ 구청장(부구청장) 특명사항(특정감사ㆍ 조사ㆍ점검 등) 처리"
감사담당관,감사팀,주무관,0234235127,○ 공사(건축 外)분야 원가심사・자문 및 일상감사 ○ 물품분야 원가심사・자문 및 일상감사 ○ 특정기술선정심사위원회 운영 관련사항 ○ 자체감사 지원 ○ 구청장(부구청장) 특명사항(특정감사・조사・점검 등) 처리
감사담당관,감사팀,주무관,02-3423-5129,"○ 공사(건축,토목)분야 원가심사・자문 및 일상감사 ○ 용역분야 원가심사・자문 및 일상감사 ○ 자체감사 지원"
감사담당관,청렴정책팀,팀장,02-3423-5131,○ 청렴정책팀 업무 총괄
감사담당관,청렴정책팀,주무관,02-3423-5132,"○ 공공기관 종합청렴도 평가 총괄 ○ 클린콜 모니터링 운영 ○ 자체청렴도 설문조사 및 진단 ○ 산하기관 청렴도 평가,청렴추진기획단 운영 ○ 이해충돌방지법 및 공무원행동강령 총괄"
감사담당관,청렴정책팀,주무관,02-3423-5133,○ 복지생활국・도시환경국 감사총괄 및 징계・소송업무 ○ 감사 사전컨설팅 및 적극행정 면책제도 운영 ○ 감사사례 교육 및 감사사례집 발간 ○ 구청장(부구청장) 특명사항(특정감사・조사・점검 등) 처리
감사담당관,청렴정책팀,주무관,02-3423-5134,"○ 광역일자리카페 운영 ○ 취업 박람회 행사 추진 - 행사 기획, 추진 및 관리 ○ 강남 창업펀드 운영 및 관리 ○ 벤처기업육성촉진지구 지원사업 운영"
감사담당관,청렴정책팀,주무관,02-3423-6742,○ 청렴플러스+콜 운영지원 및 외부청렴도 모니터링 ○ 주민만족도조사
감사담당관,청렴정책팀,주무관,02-3423-6743,○ 청렴플러스+콜 운영지원 및 외부청렴도 모니터링 ○ 주민만족도조사
감사담당관,청렴정책팀,주무관,02-3423-6744,○ 청렴플러스+콜 운영지원 및 외부청렴도 모니터링 ○ 주민만족도조사
감사담당관,조사팀,팀장,02-3423-5141,○ 조사팀 업무 총괄 ○ 특명(정보)사항 조사
감사담당관,조사팀,주무관,02-3423-5142,○ 강남구 동물 보호・관리계획 수립 ○ 반려견 순회 놀이터 운영(공약) ○ 반려견 행동교정 아카데미 운영 ○ 어린이 동물보호 교육 ○ 반려동물 사진・수기 공모전 ○ 시간선택제임기제 공무원 관련 업무 ○ 동물보호 조례 개정 ○ 반려견 돌봄쉼터 사업 ○ 기타 타 직원에 속하지 않은 사항
감사담당관,조사팀,주무관,02-3423-5143,"○ 재정감찰 총괄 ○ 공무원범죄 처분결과 통보 (검・경)사항 처리 ○ 공직자 부조리 신고 접수ㆍ처리 ○ 특명(정보)사항 조사・징계,소청,소송업무 (행정국, 기획경제국, 구의회, 강남복지 재단, 신사동〜청담동, 기타 외부) ○ 환경순찰 현장 확인 및 운영 지원"
감사담당관,조사팀,주무관,02-3423-5145,"○ 안전감찰 총괄 ○ 환경순찰 총괄(계획, 보고, 실적관리등) ○ 공적 및 비위사실 조사(승진, 표창 등) ○ 특명(정보)사항 조사・징계,소청,소송업무 (미래문화국, 보건소, 개포4동〜세곡동)"
감사담당관,조사팀,주무관,02-3423-5144,"○ 공직자윤리위원회 운영(재산등록・고지거부 신고・퇴직 공직자 취업심사 포함) ○ 공직유관단체 관리 ○ 주식백지신탁 업무 ○ 특명(정보)사항 조사・징계,소청,소송 업무(도시환경국,안전교통국,삼성1〜대치4)"
감사담당관,조사팀,주무관,02-3423-5146,○ 생활환경지킴이 운영 ○ 환경(조사)순찰 행정차량 유지관리 ○ 환경순찰(현장점검) 및 조사업무 지원
감사담당관,열린민원팀,팀장,02-3423-5151,○ 열린민원팀 업무 총괄 ○ 구청장 지시사항 수명처리 ○ 직소민원 및 수명사항 처리 총괄 ○ 민원관련 조사업무 총괄 ○ 집단민원.방문(전화)민원 처리 총괄
감사담당관,열린민원팀,주무관,02-3423-5156,"○ 취득세 총괄 ○ 재산세,취득세,등록면허세(등록) 부과징수 : (개인) 대치1동,일원본동"
감사담당관,열린민원팀,주무관,02-3423-5152,"○ 민원조정위원회 운영 ○ 공공갈등 예방・조정・관리 프로세스 운영 - 고충민원 담당자 역량강화 워크숍 - 중간관리자 소통 향상 교육 ○ 청원24, 청원심의회 운영 ○ 민원서비스 종합평가(고충, 국민신문고 분야) 총괄 ○ 집단・방문(전화)민원 처리 및 조사업무 ○ 기타 타직원에 속하지 않은 업무"
감사담당관,열린민원팀,주무관,02-3423-5153,"○ 고충민원, 새올상담민원 운영 총괄 ○ 악성민원 종합대책 총괄 ○ 민원조정능력 향상 및 갈등역량강화 교육 ○ 민원처리실태 평가(상・하반기) ○ 집단・방문(전화)민원 처리 및 조사업무"
감사담당관,열린민원팀,주무관,02-3423-5155,○ 응답소 현장민원 관리 ○ 공익신고 관련 조사 업무 처리 ○ 월별 민원처리 분석 및 대책 ○ 민원서비스 종합평가 지원 ○ 방문(전화)민원 처리 및 조사업무
감사담당관,열린민원팀,주무관,02-3423-5154,○ 구청장에게바란다 운영 총괄 ○ 월별 주요 다수민원 대책회의 ○ 민원 일일현황 보고 총괄 ○ 고충민원 접수 및 시스템 등록 ○ 민원방문상담 사전예약 시스템 운영 ○ 집단방문(전화)민원 처리 및 조사업무
중대재해예방실,중대재해예방실,실장,02-3423-5039,○ 중대재해예방실 업무 총괄
중대재해예방실,중대산업재해예방팀,팀장,02-3423-5014,○ 중대산업재해예방팀 업무 총괄 ○ 안전・보건 목표와 경영방침 설정 ○ 중대산업재해 현안 검토 및 기본계획 수립 총괄
중대재해예방실,중대산업재해예방팀,주무관,02-3423-5015,"○중대재해예방실 주요업무 및 성과관리 업무 총괄 ○중대산업재해예방 종합계획 수립 ○중대산업재해예방 매뉴얼 관리 및 조치여부 점검 ○중대재해예방 업무관련 법정 점검사항 보고 총괄 ○유관기관(지역안전보건 협의체) 협력 업무 총괄 ○중앙행정기관의 개선・시정 사항 이행 ○강남구 산업안전보건관리규정, 산업안전보건위원회 운영"
중대재해예방실,중대산업재해예방팀,주무관,02-3423-5016,"○재해예방에 관한 예산편성 및 집행사항 점검(전 부서・동) ○중대재해예방 타 부서 행사 현장점검 관리 및 지원 ○안전파수꾼 및 산업안전보건위원회 운영 ○중대재해예방 사내방송 실시 ○강남구 종사자 현황 파악 관리(매월) ○예산 및 결산업무 총괄, 봉급 및 수당, 일상경비 지출 ○보안, 물품관리, 문서수발, 행정차량 관리 등 서무업무 ○임기제(안전관리자, 보건관리자) 선임 및 관리 ○중대산업재해 예방 종사자 의견청취(기획경제국, 보건소) ○기타 타 직원에 속하지 않는 사항"
중대재해예방실,중대산업재해예방팀,주무관,02-3423-5017,"○ 강남구 종사자 위험성 평가 ○ 근골격계 유해요인 조사 및 조치 ○ 현업근로자 취급 화학물질 파악 및 조치 ○ 산업보건의 선임(위촉) 및 건강상담 등 ○ 관리감독자(부서장 및 현업업무 담당) 안전・보건 정기 교육 ○ 현업업무 종사자 안전・보건 정기 교육 ○ 강남구 MSDS 및 특별업무 종사자 교육 ○ 현업업무 종사자 현황 관리(매월) ○ 종사자 의견청취(총괄, 동주민센터) ○ 기타 산업안전보건법 상 보건관리자 업무"
중대재해예방실,중대산업재해예방팀,주무관,02-3423-5019,"○ 강남구 종사자 유해・위험요인 확인 및 개선(위험성 평가) 총괄 ○ 강남구 사업장 현장 점검 및 안전교육 실시 ○ 유해・위험 기계기구 및 보호구 등 안전관리 ○ 안전？보건 관계법령 의무이행 여부 점검 및 조치 ○ 중앙행정기관의 개선・시정 사항 이행 ○ 안전보건관리책임자, 관리감독자 평가기준 마련 및 점검 ○ 산업재해 발생원인 조사 및 재발방지 지도・조언 ○ 산업재해 통계 관리・유지・분석에 관한 지도・조언 ○ 중대산업재해 예방 종사자 의견청취(복지생활국, 도시환경국) ・기타 산업안전보건법 상 안전관리자 업무"
중대재해예방실,중대산업재해예방팀,주무관,02-3423-5018,"○강남구 도급, 용역, 위탁 사업장 지도 점검 (안전보건관리 체계 구축 및 위험성평가 실시 여부 등) ○강남구 발주공사장 및 용역 현장 유해・위험요인 안전 점검 ○강남구 발주공사 관련 지자체 합동평가 관리 ○안전보건총괄책임자 평가 기준 마련 및 점검 ○강남구 종사자 작업현장(사무공간 포함) 위험성 평가 업무(지원) ○강남구 사업장 현장 점검 및 안전교육 실시 업무(지원) ○중대산업재해 예방 종사자 의견청취(미래문화국, 안전교통국) ○중대재해예방 타 부서 행사 현장점검 ○기타 산업안전보건법 상 안전관리자 업무"
중대재해예방실,중대시민재해예방팀,팀장,02-3423-5024,○ 중대시민재해예방팀 업무 총괄 ○ 중대시민재해 현안 검토 및 기본계획 수립 총괄 ○ 중대시민재해 대상시설(공중이용시설 등)의 안전・보건관계 법령에 따른 점검 및 예방을 위한 업무 총괄 ○ 중대시민재해 대상시설 유해・위험요인 확인 등 현장점검
중대재해예방실,중대시민재해예방팀,주무관,02-3423-5026,"○ 중대시민재해예방팀 주요업무 및 성과관리 총괄 ○ 중대시민재해 대상시설 안전관리업무 수행 인력, 예산, 안전점검계획 및 이행사항 등 점검 및 조치 총괄 ○ 중대시민재해 대상시설 안전・보건관리 실태 평가 총괄 ○ 중대재해예방시스템(공중이용시설 분야) 관리 총괄 ○ 중대시민재해예방팀 예산편성 등 주요 현안 업무"
중대재해예방실,중대시민재해예방팀,주무관,02-3423-5028,"○ 중대시민재해 대상시설(공중이용시설 등)의 안전・보건관계 법령에 따른 점검 및 예방을 위한 업무 ○ 중대시민재해 대상시설 유해・위험요인 확인 등 현장점검 ○ 중대시민재해 대상시설(공중이용시설 등) 안전관리업무 수행 인력, 예산, 안전점검계획 및 이행사항 등 점검 및 조치 ○ 중대시민재해 대상시설 관계자 교육(현장교육 포함) ○ 중대재해 예방을 위한 구 주요 축제・행사 현장점검 ○ 중대재해예방시스템(공중이용시설 분야) 운영・관리 ○ 임기제(방재안전) 관리 ○ 현장점검 장비 관리"
중대재해예방실,중대시민재해예방팀,주무관,02-3423-5025,"○ 중대시민재해 대상시설 관계자 교육 총괄 ○ 중대시민재해 대상시설 안전관리업무 수행 인력, 예산, 안전점검계획 및 이행사항 확인 ○ 중대시민재해 대상시설 안전・보건관리 실태 평가 ○ 중대시민재해 대상시설 유해・위험요인 현장점검 및 예방업무(구 주요 축제・행사 현장점검 포함) ○ 중대시민재해예방시스템 점검 자료 관리 ○ 중대시민재해예방팀 예산편성 및 각종 지출업무 ○ 기타 타 직원에 속하지 않은 사항"
중대재해예방실,중대시민재해예방팀,주무관,02-3423-5027,○ 중대시민재해 대상시설(공중이용시설 등)의 안전・보건관계 법령에 따른 점검 및 예방을 위한 업무 ○ 중대시민재해 대상시설 유해・위험요인 확인 등 현장점검 ○ 공중이용시설 관계자 등의 산업재해 예방을 위한 업무 지도・조언・교육 등 ○ 중대시민재해 대상시설 현장점검에 따른 개선・조치사항 검토 결과 통보 ○ 중대시민재해 대상시설 관계자 교육(현장교육 포함) ○ 중대재해 예방을 위한 구 주요 축제・행사 현장점검
건축민원지원센터,건축민원지원센터,주무관,02-3423-5071,건축민원지원센터장
건축민원지원센터,건축민원지원센터,주무관,02-3423-5072,○건축 일반상담 및 고충민원관련 기술자문위원 (상담전화: 02-3423-5073~7) ○건축 인・허가 및 민원 처리 매뉴얼 제작 ○건축 인・허가 적정성 검토서 및 고충민원 중재 검토서 관리 ○자문위원 관리 및 수당지급 ○실적관리 및 팀내 서무 업무
행정국,행정국,국장,02-3423-5020,○ 행정국 업무 총괄
총무과,총무과,과장,02-3423-5160,○ 총무과 업무 총괄
총무과,총무팀,팀장,02-3423-5187,○ 대외협력팀 업무 총괄
총무과,총무팀,주무관,02-3423-5168,"○ 임시청사 조성 및 구청사 부서 재배치 (조직개편, 이전) ○ 구본청 청사관리 총괄(공사, 용역) ○ 삼성로별관 청사관리 ○ 청사기금 운용 및 관리"
총무과,총무팀,주무관,02-3423-5162,"○ 행정국 주요업무 및 지시사항 총괄 ○ 행정국 각종 보고ㆍ회의자료 작성 및 관리 ○ 행정국 직원 근무성적평정업무 ○ 종무식 및 시무식 추진 ○ 업무추진비 집행(기관, 시책)"
총무과,총무팀,주무관,02-3423-5163,"○ 신년인사회 등 구정 주요행사 추진 ○ 청사방호 및 청원경찰(종합상황실) 관리 ○ 강남구통합방위협의회 운영 ○ 군 부대 관련 업무(통합방위지원본부 및 정부훈련) ○ 공용차량 및 차량지원실 관리 ○ 정례간부회의, 직원정례조례 추진 ○ 타 직원에 속하지 않는 업무(수명사항 등)"
총무과,총무팀,주무관,02-3423-5165,"○ 예산, 회계 및 결산 ○ 부서 주요업무 및 역점사업 총괄 ○ 행정사무감사 및 구의회 관련 업무 등 ○ 경조사기 관리, 문서접수 ○ 일상경비 및 업무추진비 집행"
총무과,총무팀,주무관,02-3423-5166,○ 당・숙직 관리 ○ 구청사 부설주차장 관리 ○ 통일・안보교육 및 보안(충무계획 포함)관련 업무 ○ 재난안전・민방위 관련 업무 ○ 부서 행사일정 관리 및 각종 행사 의전 ○ 복도안 미술관 운영 및 미술품 관리 ○ 직원수첩 제작
총무과,총무팀,주무관,02-3423-5167,"○ 구본청 청사관리(공사, 용역) ○ 강남구민회관 청사관리 ○ 청사관리용품 구매(연간단가 포함) ○ 구 간부(4・5급) 워크숍 추진 ○ 명예행정관(구청장, 부구청장, 행정국장)운영 ○ 정책자문위원회(행정분과) 운영"
총무과,총무팀,주무관,02-3423-5164,"○ 청사관리실 직원 복무 및 급여 관리 ○ 행정국 직원 연말정산, 제수당 지급 ○ 직장 민방위대 관리, 업무택시제 운영 ○ 대형태극기, 군집기, 가로기(배너기) 관리 ○ 구청사 에너지 소비량 및 공공요금 관리"
총무과,총무팀,주무관,02-3423-6781,○ 통신실 업무 총괄
총무과,총무팀,주무관,02-3423-6783,"○ 구청 동청사 사내방송, 제실등 관리"
총무과,총무팀,주무관,02-3423-6790,○ 총무과 차량지원실 총괄
총무과,총무팀,주무관,02-3423-6791,○ 구청장 수행 및 업무지원
총무과,총무팀,주무관,02-3423-6798,○ 차량관리 및 부서지원
총무과,총무팀,주무관,02-3423-6794,○ 차량관리 및 부서지원
총무과,총무팀,주무관,02-3423-6792,"○ 복지생활국, 도시환경국 차량지원 및 부서업무 지원"
총무과,총무팀,주무관,02-3423-6795,○ 차량관리 및 부서지원
총무과,총무팀,주무관,02-3423-6799,○ 차량관리 및 부서지원
총무과,총무팀,주무관,02-3423-6798,"○ 기획경제국장, 안전교통국 차량지원 및 부서업무지원"
총무과,총무팀,주무관,02-3423-6797,○ 부구청장 수행 및 업무지원
총무과,총무팀,주무관,02-3423-6792,○ 행정국 차량지원 및 부서업무 지원
총무과,총무팀,주무관,02-3423-6797,○ 차량관리 및 부서지원
총무과,총무팀,주무관,02-3423-6796,○ 미래문화국 차량 지원 및 부서업무 지원
총무과,총무팀,주무관,02-3423-6799,○ 차량관리 및 부서지원
총무과,총무팀,주무관,02-3423-6791,○ 미래전략기획단 차량지원 및 부서업무 지원
총무과,총무팀,주무관,02-3423-5023,행정국장 비서
총무과,총무팀,주무관,02-3423-6005,민원상황실 총괄
총무과,총무팀,주무관,02-3423-6001,청사방호 및 부서업무지원
총무과,총무팀,주무관,02-3423-6001,청사방호
총무과,총무팀,주무관,02-3423-6784,청사방호
총무과,총무팀,주무관,02-3423-6784,청사방호
총무과,총무팀,주무관,02-3423-6000,청사방호
총무과,총무팀,주무관,02-3423-6002,청사방호
총무과,총무팀,주무관,0234236785,청사방호
총무과,총무팀,주무관,02-3423-6003,청사방호
총무과,총무팀,주무관,0234236784,청사방호
총무과,총무팀,주무관,02-3423-6785,청사방호
총무과,총무팀,주무관,02-3423-6784,청사방호
총무과,총무팀,주무관,02-3423-6817,청사관리
총무과,총무팀,주무관,02-3423-6817,청사관리
총무과,총무팀,주무관,02-3423-6817,청사관리
총무과,총무팀,주무관,02-3423-6817,청사관리
총무과,총무팀,주무관,02-3423-6817,청사관리
총무과,총무팀,주무관,02-3423-6817,청사관리
총무과,인사팀,팀장,02-3423-5171,○ 인사팀 업무총괄
총무과,인사팀,주무관,02-3423-5174,"○ 일반직 공무원 휴・복직, 퇴직・면직, 복무・징계 등 ○ 5급 이상 성과연봉, 공무국외여행 심의 ○ 장기재직휴가일수 부여 및 시스템 등록 ○ 관외출장여비 검토 및 지급 ○ 사가독서 학습휴가 실적 입력 및 관리 ○ 차세대인사랑(복무시스템) 권한 부여 ○ 사가독서학습휴가 실적 입력 및 관리 ○ 퇴직준비교육 지원"
총무과,인사팀,주무관,02-3423-5172,"○ 행정직 6급 이하 일반직 공무원 임용 ○ 행정직 근무성적평정 ○ 조직관리 ○ 인사교류 및 인사고충 ○ 인사관련 소송, 민원처리 등 업무 ○ 그 밖에 타 직원에 속하지 않는 업무"
총무과,인사팀,주무관,02-3423-5176,"○ 기술직 6급 이하 일반직 공무원 임용 ○ 기술직 근무성적평정, 경력평정 ○ 정・현원 관리, 성과상여금, 실적가산점 ○ 기준인력 및 기준인건비 관련 업무 ○ 인사전산 및 통계, 각종 인사자료 작성 ○ 인사법령, 자치법규 등 제・개정 등 총괄"
총무과,인사팀,주무관,02-3423-5173,"○ 임기제공무원 및 대체인력 관리 총괄 ○ 임기제 공무원 임용, 복무관리 및 성과연봉 ○ 인사위원회 운영 ○ 공무원 임용시험(공채) ○ 기관 고용・산재 보험 업무 ○ 인사기록카드 관리, 공무원증 및 제증명 발급 ○ 복무관리시스템 유지・보수 등 관리"
총무과,인사팀,주무관,02-3423-5177,"○ 무기계약직 및 비정규직 관리 ○ 주요업무평가, 포상 및 상훈 ○ 교육훈련 및 상시학습시스템 관리 ○ 호봉관리 및 대우공무원 선발 ○ 충무계획, 병무담당 ○ 노무자문"
총무과,후생복지팀,팀장,02-3423-5181,○ 후생복지팀 업무 총괄 ○ 성희롱 고충상담원
총무과,후생복지팀,주무관,02-3423-5182,"○ 후생복지 종합계획 수립 ○ 후생복지시설 및 기금관리(구내식당, 커피판매점, 매점 등) ○ 글로벌 벤치마킹 직원 연수 ○ 불친절 민원처리(악성, 고질민원) ○ 공무원노동조합 ○ 후생복지 조례개정 총괄 ○ 직원 한마음(신규) 공동체 훈련 ○ 직원 명절 선물, 직원자녀 입학축하 선물 지급 ○ 직원 후생복지 리플릿 제작 ○ 성희롱 고충상담원 ○ 직장 내 성희롱 등 예방 교육 ○ 콘도 운영 관리 ○ 독서경영 인증사업 등 추진"
총무과,후생복지팀,주무관,02-3423-5183,"○ 구 역점사업 추진 ○ 연금업무(임대주택, 학자금대부, 기여금 등) ○ 모범공무원 혁신행정 연수 ○ 직원단체보험, 직장건강보험 ○ 건강관리프로그램, 독감예방접종, 난임지원사업 ○ 중간관리자 공동체 훈련 ○ 직원 체력증진 관련 업무(직원 체육행사, 집합훈련) ○ 서울시 직원상조회 ○ 강남아카데미 운영 ○ 가족친화사업(가족캠프, 공연・문화바우처) ○ 기타 타직원에 속하지 아니한 업무"
총무과,후생복지팀,주무관,02-3423-5184,"○ 맞춤형 복지제도 운영 ○ 행정사무감사, 예산 ○ 구간부・직원 간 소통의 장 운영 ○ 원데이(One-day) 프로그램 운영 ○ 직원 심리상담 지원 ○ 주말・하계휴양소 운영 ○ 전화(화상) 외국어 교육 운영 ○ 직장동호회 운영 ○ 직원 생일 선물 지급 ○ 대상포진 예방접종 지원"
총무과,후생복지팀,주무관,02-3423-5185,"○ 친절 종합계획 수립 및 시책 추진 - 친절교육, 친절마일리지, 친절캠페인, 칭찬합시다 ○ 친절도 점검(전화, 방문) 및 평가 ○ 공무원생활안정기금 운용・관리 ○ 자율형 휴양소 운영 ○ 민원안내도우미 관리 ○ 직원 장례서비스 지원(축하기 배송 포함) ○ 직원 자녀 수능 격려 ○ 신규 임용 직원 관련(웰컴키트 등) ○ 사내방송 운영"
총무과,후생복지팀,주무관,02-3423-5110,민원안내
총무과,후생복지팀,주무관,02-3423-5110,민원안내
총무과,대외협력팀,팀장,02-3423-5187,○ 대외협력팀 업무 총괄
총무과,대외협력팀,주무관,02-3423-5188,"○ 구의회 정례회 및 임시회 의정 업무 지원 총괄(안건 제출 및 의안 현황 통보) ○ 행정사무감사 수감 총괄(계획수립 등) ○ 구의회, 시의회, 국무회의 요구자료 처리 ○ 의정비심의위원회 구성 및 운영 ○ 구의원 상해보상청구심의위원회 구성 및 운영 ○ 구의회 간담회 행사 등 의회 행사 전반 지원"
총무과,대외협력팀,주무관,02-3423-5189,"○ 국내・외 친선도시, 해외주요도시 교류 총괄 ○ 기타 국내・외 교류관련 전반 사항 ○ 국회 요구자료 처리 ○ 구의회 정례회 및 임시회 의정 업무 지원 ○ 행정사무감사장 수감 지원(경제도시위원회)"
총무과,비서실,비서실장,02-3423-5004,비서실 업무 총괄
총무과,비서실,팀장,02-3423-5002,비서실 민원 처리
총무과,비서실,주무관,02-3423-5003,비서 업무
총무과,비서실,주무관,02-3423-5008,비서실 업무 지원
총무과,비서실,주무관,02-3423-5009,비서 업무
총무과,비서실,주무관,02-3423-5000,비서실 업무 지원
총무과,총무과,보좌관,02-3423-5468,정책보좌관
주민자치과,주민자치과,과장,02-3423-5190,○ 주민자치과 업무 총괄
주민자치과,자치행정팀,팀장,02-3423-5191,○ 자치행정팀 업무 총괄
주민자치과,자치행정팀,주무관,02-3423-5192,"구청장과의 대화, 洞 근무평정, 洞 행정사무감사,洞 주요업무 분기별 평가 및 포상, 洞 소규모사업, 민주평통, 공직선거법 질의응답, 주민투표, 주민소환, 지명위원회 및 치안협의회 운영, 기타 타직원에 속하지 않는 업무"
