부서,페이지,정보
감사담당관,1,감사담당관 | 감사담당관 | 감사담당관 업무 총괄 | 02-2116-2520
감사담당관,2,감사담당관 / 조사팀 | 주무관 | ❍ 재산등록 관련 업무 ❍ 취업제한 퇴직공직자 관리 ❍ 공직자윤리위원회 운영 ❍ 비위사실 조회 관련 업무 | 02-2116-3052
감사담당관,2,감사담당관 / 구민소통팀 | 구민소통팀장 | 구민소통팀 업무 총괄 | 02-2116-0684
감사담당관,2,감사담당관 / 구민소통팀 | 주무관 | - 전자민원관리(서울시 응답소 일반민원) 및 처리실태 확인 - 고충민원 직접 조사 (응답소 일반민원) | 02-2116-3065
감사담당관,2,"감사담당관 / 구민소통팀 | 주무관 | · 전자민원관리 (새올상담민원) 및 처리실태 확인 · 민원서비스 개선 (메뉴얼개발, 교육 등) · 고충민원 직접 조사 (새올 상담민원) · 구청장에게 바란다 · 방문/전화/팩스민원 접수 | 02-2116-3063"
감사담당관,2,감사담당관 / 구민소통팀 | 주무관 | 구청장에게 바란다 | 02-2116-3064
미디어홍보담당관,1,미디어홍보담당관 | 미디어홍보담당관 | 미디어홍보담당관 업무 총괄 | 02-2116-3440
미디어홍보담당관,1,미디어홍보담당관 | 주무관 | 팀 서무 | 02-2116-2530
미디어홍보담당관,1,미디어홍보담당관 / 언론팀 | 언론팀장 | 언론팀 업무 총괄 | 02-2116-3499
미디어홍보담당관,1,"미디어홍보담당관 / 언론팀 | 주무관 | • 과서무 • 보도자료, 포토뉴스 등 | 02-2116-3421"
미디어홍보담당관,1,미디어홍보담당관 / 언론팀 | 주무관 | 언론 보도 | 02-2116-3420
미디어홍보담당관,1,미디어홍보담당관 / 언론팀 | 주무관 | ❍ 언론보도 | 02-2116-3422
미디어홍보담당관,1,"미디어홍보담당관 / 언론팀 | 주무관 | ○ 각종 행사 사진 촬영 및 구청장 24시 사진 게재.관리 ○ 청사 및 동 주민센터 홍보게시판 사진 관리 ○ 각종 사진 DB구축․관리, 보도자료 작성 및 사진 제공 ○ 신문스크랩, 주말사진촬영 | 02-2116-3419"
미디어홍보담당관,1,미디어홍보담당관 / 홍보팀 | 홍보팀장 | 주차장관리팀 업무 총괄 | 02-2116-4103
미디어홍보담당관,1,미디어홍보담당관 / 홍보팀 | 주무관 | 소식지 기획 및 제작 구보발행 | 02-2116-3414
미디어홍보담당관,1,"미디어홍보담당관 / 홍보팀 | 주무관 | 홈페이지 컨텐츠, 홍보 활성화 | 02-2116-3424"
미디어홍보담당관,2,"미디어홍보담당관 / 홍보팀 | 주무관 | ○ 소식지 등 디자인 및 편집, 인터넷 게시 ○ 구 상징물 관리, 옥외 광고탑, 각종 홍보물 유지·관리 ○ 신나는 노원여행 발간, 직원 명함제작 관리 ○ 각종 홍보물 디자인, 기타 홍보용 자료작성 및 지원 ○ 소식지 원고작성 및 수합, 사진촬영 및 배포 관리 | 02-2116-3418"
미디어홍보담당관,2,미디어홍보담당관 / 뉴미디어팀 | 뉴미디어팀장 | 뉴미디어팀 업무 총괄 | 02-2116-3406
미디어홍보담당관,2,"미디어홍보담당관 / 뉴미디어팀 | 주무관 | ○ 구 공식 SNS 운영(블로그, 인스타그램 등) ○ SNS용 구정 홍보 콘텐츠 제작 ○ 구정 홍보 관련 이미지 디자인 | 02-2116-3402"
미디어홍보담당관,2,미디어홍보담당관 / 뉴미디어팀 | 주무관 | ○ 구 주요 행사 진행 ○ 콘텐츠 기획 및 리포팅 ○ 홍보 영상 제작 및 유튜브 관리 ○ 공식 뉴스레터 및 SNS 채널 운영 | 02-2116-3401
미디어홍보담당관,2,미디어홍보담당관 / 뉴미디어팀 | 주무관 | ○ 영상컨텐츠 기획 및 제작 ○ 전자게시판 DID 컨텐츠 운영관리 ○ 영상차량 운영 관리 ○ 공동주택 승강기 홍보영상 관리 ○ 노원구 거점홍보(KB전광판 등)관리 | 02-2116-3403
미디어홍보담당관,2,미디어홍보담당관 / 뉴미디어팀 | 주무관 | 노원마을미디어지원센터 업무 총괄 구민 마을 미디어 활동 지원 추진 대외 네트워크 추진 | 02-2116-3407
미디어홍보담당관,2,"미디어홍보담당관 / 뉴미디어팀 | 주무관 | ○ 노원마을미디어지원센터 미디어교육(기획, 운영, 강사양성 및 관리, 홍보) ○ 돌봄미디어교실 및 미디어체험 운영 ○ 마을미디어지원센터 세입관리 ○ 콘텐츠 제작 지원 및 멘토링 | 02-2116-3408"
미디어홍보담당관,2,"미디어홍보담당관 / 뉴미디어팀 | 주무관 | ○ 미디어단체 및 동아리 활동 지원 ○ 콘텐츠 제작 관련 기술 지원, 상영회 운영 ○ 센터 시설 및 장비 관리 ○ 미디어 교육 | 02-2116-3412"
문화도시행정국,1,문화도시행정국 | 문화도시행정국장 | 문화도시행정국 업무 총괄 | 02-2116-3140
문화도시행정국,1,문화도시행정국 | 주무관 | 녹색교통팀 업무 총괄 | 02-2116-3209
문화도시행정국,1,문화도시행정국 | 주무관 | 월계1동 업무 총괄 | 02-2116-2430
문화도시행정국,1,문화도시행정국 | 주무관 | ㅇ 재무과 업무 총괄 | 02-2116-3470
문화도시행정국,1,문화도시행정국 | 주무관 | 복지1팀 업무 총괄 | 02-2116-2811
문화도시행정국,1,"문화도시행정국 | 주무관 | -복지지원팀 업무총괄 -장제, 해산급여 | 02-2116-2261"
문화도시행정국,1,문화도시행정국 | 주무관 | 월계2동 주민센터 업무 총괄 | 02-2116-2460
문화도시행정국,1,문화도시행정국 | 주무관 | 주민복지국 업무 총괄 | 02-2116-3017
문화도시행정국,1,문화도시행정국 | 주무관 | 운수지도팀 업무 총괄 | 02-2116-4047
문화도시행정국,1,문화도시행정국 | 주무관 | - 통합조사관리1팀 업무총괄 - 복지급여 신청자 선정 및 적정 여부 관리 - 희귀난치성 질환자 보건소 통보 - 복지대상자 민원상담 및 사회복지 일반 업무 | 02-2116-3694
문화도시행정국,2,문화도시행정국 | 주무관 | 월계2동 주민센터 업무 총괄 | 02-2116-2460
문화도시행정국,2,문화도시행정국 | 주무관 | 주민복지국 업무 총괄 | 02-2116-3017
문화도시행정국,2,문화도시행정국 | 주무관 | 운수지도팀 업무 총괄 | 02-2116-4047
문화도시행정국,2,문화도시행정국 | 주무관 | - 통합조사관리1팀 업무총괄 - 복지급여 신청자 선정 및 적정 여부 관리 - 희귀난치성 질환자 보건소 통보 - 복지대상자 민원상담 및 사회복지 일반 업무 | 02-2116-3694
문화도시행정국,2,문화도시행정국 | 주무관 | 서무 | 02-2116-4976
문화도시행정국,2,"문화도시행정국 | 주무관 | 서무(예산, 청사관리), 선거사무 | 02-2116-2462"
문화도시행정국,2,문화도시행정국 | 주무관 | • 과오납 환급 | 02-2116-3562
문화도시행정국,2,문화도시행정국 | 주무관 | 도로조명관리 가로등 보수 및 자재관리 | 02-2116-4136
문화도시행정국,2,"문화도시행정국 | 주무관 | - 공릉1빗물펌프장 시설운영(기계) - 당현천가압장 시설운영(기계) - 간이펌프장, 수문점검관리 | 02-2116-4197"
문화도시행정국,2,문화도시행정국 | 주무관 | o 중계본동 업무 총괄 | 02-2116-2640
문화도시행정국,3,행정지원과 | 행정지원과장 | ○ 행정지원과 업무 총괄 | 02-2116-3100
문화도시행정국,3,행정지원과 | 인사팀장 | 인사팀 업무 총괄 | 02-2116-7171
문화도시행정국,3,행정지원과 | 주무관 | o 여권접수 및 교부 o 온라인 발급 사진 확인 | 02-2116-3277
문화도시행정국,3,행정지원과 | 주무관 | • 동 마을 축제운영 • 찾아가는 오케스트라 공연 지원 | 02-2116-7144
문화도시행정국,3,"행정지원과 | 주무관 | 동체육회, 경춘선힐링쉼터, 공구대여, 마을변호사 | 02-2116-2528"
문화도시행정국,3,"행정지원과 | 주무관 | 기획재정국장, 교육복지국장 비서 | 02-2116-3016"
문화도시행정국,3,행정지원과 | 주무관 |  | 
문화도시행정국,3,행정지원과 | 주무관 |  | 
문화도시행정국,3,행정지원과 / 총무팀 | 총무팀장 | ○ 총무팀 업무 총괄 | 02-2116-3086
문화도시행정국,3,행정지원과 / 총무팀 | 주무관 | ○ 국서무 | 02-2116-3084
문화도시행정국,4,행정지원과 / 총무팀 | 주무관 | ○ 예산 총괄 | 02-2116-3085
문화도시행정국,4,"행정지원과 / 총무팀 | 주무관 | ○ 행사, 의전, 군부대 | 02-2116-3081"
문화도시행정국,4,행정지원과 / 총무팀 | 주무관 | ○ 청사관리 등 | 02-2116-3083
문화도시행정국,4,행정지원과 / 총무팀 | 주무관 | ○ 차량 관리 ○ 청사 대관 | 02-2116-3080
문화도시행정국,4,행정지원과 / 총무팀 | 주무관 | ○ 부구청장 비서실 | 02-2116-3012
문화도시행정국,4,행정지원과 / 총무팀 | 주무관 | ○ 청사관리실 근무 | 02-2116-4222
문화도시행정국,4,행정지원과 / 총무팀 | 주무관 | ○ 청사관리실 업무 | 02-2116-4221
문화도시행정국,4,행정지원과 / 총무팀 | 공무직 | ○ 청사관리실 근무 | 02-2116-4223
문화도시행정국,4,행정지원과 / 총무팀 | 주무관 | ○ 전기실 업무 | 02-2116-4214
문화도시행정국,4,"행정지원과 / 총무팀 | 주무관 | ○ 전기실 업무, 승강기 업무 | 02-2116-4215"
문화도시행정국,5,행정지원과 / 총무팀 | 공무직 | 대.소강당 방송지원 | 02-2116-4238
문화도시행정국,5,행정지원과 / 총무팀 | 주무관 | ○ 기관실 업무 | 02-2116-4217
문화도시행정국,5,행정지원과 / 총무팀 | 주무관 | ○ 기관실 업무 | 02-2116-4218
문화도시행정국,5,행정지원과 / 총무팀 | 공무직 | ○ 기관실 근무 | 02-2116-4220
문화도시행정국,5,행정지원과 / 총무팀 | 주무관 | ○ 차량지원실 | 02-2116-4225
문화도시행정국,5,행정지원과 / 총무팀 | 주무관 | ○ 차량지원실 | 02-2116-4227
문화도시행정국,5,행정지원과 / 총무팀 | 주무관 | ○ 차량지원실 | 02-2116-4227
문화도시행정국,5,행정지원과 / 총무팀 | 주무관 | ○ 차량지원실 | 02-2116-4224
문화도시행정국,5,행정지원과 / 총무팀 | 주무관 | ○ 차량지원실 | 02-2116-4225
문화도시행정국,5,행정지원과 / 인사팀 | 주무관 | ○ 인사교류 ○ 인사관리 및 인사상담 | 02-2116-3090
문화도시행정국,6,"행정지원과 / 인사팀 | 주무관 | ○ 조직 및 정, 현원 관리 | 02-2116-3088"
문화도시행정국,6,"행정지원과 / 인사팀 | 주무관 | ○ 임기제 관련 업무 ○ 공무원 수당, 보수 관련 업무 | 02-2116-3074"
문화도시행정국,6,행정지원과 / 인사팀 | 주무관 | ○ 복무관리 | 02-2116-3089
문화도시행정국,6,"행정지원과 / 인사팀 | 주무관 | ○ 인사전산, 기록 관리 | 02-2116-3087"
문화도시행정국,6,행정지원과 / 능력개발팀 | 능력개발팀장 | ○ 능력개발팀 업무 총괄 | 02-2116-3095
문화도시행정국,6,행정지원과 / 능력개발팀 | 주무관 | ○ 연간교육훈련계획 | 02-2116-3093
문화도시행정국,6,행정지원과 / 능력개발팀 | 주무관 | ○ 상시학습 관리 ○ 학습관리시스템 운영 | 02-2116-3092
문화도시행정국,6,행정지원과 / 의회노무팀 | 의회노무팀장 | 의회노무팀 업무 총괄 | 02-2116-3879
문화도시행정국,6,행정지원과 / 의회노무팀 | 주무관 | ○ 직원휴양소 등 | 02-2116-3098
문화도시행정국,6,행정지원과 / 의회노무팀 | 주무관 | ○ 맞춤형 복지 ○ 기간제 관리 등 | 02-2116-3075
문화도시행정국,7,"행정지원과 / 의회노무팀 | 주무관 | ○ 4대보험, 건강보험 | 02-2116-3096"
문화도시행정국,7,행정지원과 / 비서실 | 비서실장 | ○ 비서실장 | 02-2116-3005
문화도시행정국,7,행정지원과 / 비서실 | 민원비서 | ○ 구청장실 민원비서 | 02-2116-3003
문화도시행정국,7,행정지원과 / 비서실 | 주무관 | ○ 차량 운행 | 02-2116-2999
문화도시행정국,7,행정지원과 / 비서실 | 수행비서 | ○ 구청장 차량 운행 | 02-2116-2999
문화도시행정국,7,행정지원과 / 비서실 | 수행비서 | ○ 구청장 수행 | 02-2116-2998
문화도시행정국,7,행정지원과 / 비서실 | 주무관 | ○ 구청장 비서실 | 02-2116-3009
문화도시행정국,7,행정지원과 / 비서실 | 주무관 | ○ 구청장 비서실 | 02-2116-3008
문화도시행정국,7,행정지원과 / 종합상황실 | 주무관 | ○ 종합상황실 근무 | 02-2116-3299
문화도시행정국,7,행정지원과 / 종합상황실 | 주무관 | ○ 종합상황실 근무 | 02-2116-3302
문화도시행정국,8,행정지원과 / 종합상황실 | 주무관 | ○ 종합상황실 근무 | 02-2116-3301
문화도시행정국,8,행정지원과 / 종합상황실 | 주무관 | ○ 종합상황실 근무 | 02-2116-3000
문화도시행정국,8,자치행정과 | 자치행정과장 | 자치행정과 업무 총괄 | 02-2116-3930
문화도시행정국,8,자치행정과 | 자치행정팀장 | 자치행정팀 업무 총괄 | 02-2116-3183
문화도시행정국,8,"자치행정과 | 주무관 | 주민자치회, 동체육회 자치회관 관리 동 축제 | 02-2116-2436"
문화도시행정국,8,자치행정과 | 주무관 | • 불후의 명강 운영 • 성인문해교육 지원사업(국평원·서울시·서평원) • 민간단체 공익활동 지원사업 • 민주시민교육자문위원회 운영 | 02-2116-3993
문화도시행정국,8,자치행정과 | 주무관 | ○ 민간·가정어린이집 인가 및 보조금 지원 ○ 보육전산관리(보육포털사이트 포함) ○ 시간제 어린이집 지원사업 ○ 동행어린이집 지원사업 ○ 서울시 교사대 아동비율 지원사업 | 02-2116-3727
문화도시행정국,8,"자치행정과 | 주무관 | ❍ 도로재산(월계) ❍ 하천재산(상계,하계) - 점용허가, 용도폐지, 점용료(변상금)부과 - 차량출입시설 및 공중선.지하매설물 총괄 | 02-2116-4008"
문화도시행정국,8,"자치행정과 / 자치행정팀 | 주무관 | - 선거, 주민투표제 - 정례동장회의 - 동행정평가 - 행정구역 조정 - 동주민센터 보안관 운영 | 02-2116-3128"
문화도시행정국,8,자치행정과 / 자치행정팀 | 주무관 | 주민등록 | 02-2116-3515
문화도시행정국,9,"자치행정과 / 자치행정팀 | 주무관 | 행정사, 고향사랑 | 02-2116-3133"
문화도시행정국,9,자치행정과 / 자치행정팀 | 주무관 |  | 02-2116-3515
문화도시행정국,9,자치행정과 / 자치지원팀 | 자치지원팀장 | 자치지원팀 업무 총괄 | 02-2116-3132
문화도시행정국,9,"자치행정과 / 자치지원팀 | 주무관 | - 주민제안사업, 주민자치회 실행사업 등 | 02-2116-3129"
문화도시행정국,9,자치행정과 / 자치지원팀 | 주무관 | - 민간단체 공익활동 지원사업 | 02-2116-3120
문화도시행정국,9,자치행정과 / 자치지원팀 | 주무관 | - 자치회관 운영 관리 - 동주민센터 유휴공간 관리 | 02-2116-3145
문화도시행정국,9,자치행정과 / 마을공동체팀 | 마을공동체팀장 | 마을공동체팀 총괄 | 02-2116-0676
문화도시행정국,9,자치행정과 / 마을공동체팀 | 주무관 | ○ 중계온마을센터 시설 관리 운영 총괄 - 중계온마을센터 입주시설 네트워크 회의 등 ○ 시간선텍제임기제 행정 지원 ○ 마을커뮤니티공간 지도점검 총괄 ○ 공유도시 활성화 ○ 기타 타 직원에 속하지 않은 업무 | 02-2116-0679
문화도시행정국,9,자치행정과 / 마을공동체팀 | 주무관 | ° 마을공동체 공모사업 운영 및 관리 ° 마을지원활동가 관리 ° 자치구 및 대외협력 행사 운영 ° 마을커뮤니티공간 운영 지원 및 관리(월계동·하계동) | 02-2116-0678
문화도시행정국,9,자치행정과 / 마을공동체팀 | 주무관 | ° 마을공동체 공모사업 운영 ° 마을커뮤니티공간(4개소) 운영 지원 및 관리 ° 마을공동체지원센터 업무용 계좌 관리 | 02-2116-0681
문화도시행정국,10,"자치행정과 / 마을공동체팀 | 주무관 | ○ 특화사업 계획 및 운영 ○ 중계온마을센터 공간 (강당, 커뮤니티실) 대관 관리 ○ 중계온마을센터 축제 추진 ○ 마을공동체지원센터 홍보 및 아카이브 ○ 마을커뮤니티공간 운영 지원 및 관리 -영축산어울마루, 공덕골아름드리, 경춘선힐링쉼터, 수락행복발전소, 꿈꾸는상계5동행복발전소, 원터어울마루, 상구네행복발전소 | 02-2116-0682"
문화도시행정국,10,자치행정과 / 민방위팀 | 민방위팀장 | 민방위팀 업무 총괄 | 02-2116-3127
문화도시행정국,10,자치행정과 / 민방위팀 | 주무관 | • 민방위교육 | 02-2116-3126
문화도시행정국,10,자치행정과 / 민방위팀 | 주무관 | • 사회복무요원 관리 | 02-2116-3136
문화도시행정국,10,자치행정과 / 민방위팀 | 주무관 | - 충무훈련 운영 - 민방위 장비 물자 관리 | 02-2116-3125
문화도시행정국,10,문화도시과 | 문화도시과장 | 문화도시과 업무 총괄 | 02-2116-7130
문화도시행정국,10,"문화도시과 | 주무관 | 서무(예산, 재무) | 02-2116-2732"
문화도시행정국,10,문화도시과 | 주무관 |  | 
문화도시행정국,10,문화도시과 | 팀장 | - 청년 창업지원 - 청년 커리어센터 조성 | 02-2116-7112
문화도시행정국,10,"문화도시과 | 주무관 | • 금융감독원, 금융관련업무 처리 • 전화권유판매업 신규등록, 변경, 폐업신고 및 민원사항 처리 • 방문판매업 신규등록, 변경, 폐업신고 및 민원사항 처리 • 통신판매업 신규등록, 변경, 폐업신고 및 민원사항 처리 • 소비자보호법 및 전자상거래 관련 민원사항 처리 • 담배 도소매인 등록 및 단속 • 물가조사, 가격표시제 등 물가 관련 업무 • 물가안정모범업소(착한가게) 지정 및 모니터링 자료 평가 | 02-2116-3474"
문화도시행정국,11,문화도시과 | 주무관 |  | 
문화도시행정국,11,문화도시과 | 주무관 | 언론보도 | 02-2116-3421
문화도시행정국,11,문화도시과 | 주무관 | 주민자치 | 02-2116-2884
문화도시행정국,11,"문화도시과 | 주무관 | ◦ 아동보호전문기관 예산 및 회계처리 ◦ 아동학대 사례관리 상담원 보수지급 등 ◦ 아동보호팀 서무(주간주요, 주요업무 등) | 02-2116-4412"
문화도시행정국,11,문화도시과 / 문화정책팀 | 주무관 | • 문화시설 건립 등 • 시 협력사업 등 | 02-2116-7133
문화도시행정국,11,문화도시과 / 문화정책팀 | 주무관 | • 노원문화원 운영 지원 | 02-2116-7134
문화도시행정국,11,문화도시과 / 문화정책팀 | 주무관 | ○ 노원문화재단 운영 지원 | 02-2116-7137
문화도시행정국,11,문화도시과 / 축제관광팀 | 축제관광팀장 | 축제관광팀 업무 총괄 | 02-2116-7141
문화도시행정국,11,문화도시과 / 축제관광팀 | 주무관 | 축제담당 | 02-2116-7143
문화도시행정국,11,문화도시과 / 문화예술팀 | 문화예술팀장 | 문화예술팀 업무 총괄 | 02-2116-7151
문화도시행정국,12,"문화도시과 / 문화예술팀 | 주무관 | • 노래연습장업, PC방 관리, 게임산업관리, 출판업 인허가 | 02-2116-7153"
문화도시행정국,12,문화도시과 / 문화예술팀 | 주무관 | • 불암산아트포레 갤러리 운영 • 마들농요 운영 지원 • 종무행정 및 종교단체 비영리 법인 관련 업무 • 전통사찰 지원 | 02-2116-7154
문화도시행정국,12,문화도시과 / 문화예술팀 | 주무관 | • 노원전통문화체험관 다완재 운영 | 02-2116-3766
문화도시행정국,12,체육도시과 | 체육도시과장 | 체육도시과 업무 총괄 | 02-2116-0820
문화도시행정국,12,체육도시과 / 체육정책팀 | 체육정책팀장 | 체육정책팀 업무 총괄 | 02-2116-0821
문화도시행정국,12,체육도시과 / 체육정책팀 | 주무관 | • 서무 | 02-2116-0822
문화도시행정국,12,체육도시과 / 체육정책팀 | 주무관 | • 노원구체육회 운영 관리 • 체육동호인 단체관리 • 서울노원유나이티드fc 운영지원 | 02-2116-0823
문화도시행정국,12,체육도시과 / 체육정책팀 | 주무관 | • 동네 물놀이장 운영 • 동체육회 운영 관리 • 시·구민체육대회 지원 • 노원구 태권도시범단 운영 | 02-2116-0824
문화도시행정국,12,체육도시과 / 체육정책팀 | 주무관 | • 눈썰매장 운영 • (장애인)스포츠강좌이용권 운영 • 사격선수단 운영지원 • 비영리체육법인 관리 | 02-2116-0825
문화도시행정국,12,체육도시과 / 체육사업팀 | 체육사업팀장 | 체육사업팀 업무 총괄 | 02-2116-0831
문화도시행정국,13,체육도시과 / 체육사업팀 | 주무관 | • 아침/야간 체조교실 운영 • 생활체육교실 운영(볼링·게이트볼·배구·탁구·노르딕워킹) • 학교엘리트체육 사업 운영 • 전통체육교실 운영 • 어르신스포츠시설이용료 지원사업 운영 | 02-2116-0832
문화도시행정국,13,"체육도시과 / 체육사업팀 | 주무관 | • 노원어르신휴센터 운영 • 노원 힐링걷기· 바르게 걷기사업 추진(노원어르신휴센터) • 생활체육교실 운영(축구, 풋살) • 스마트노원핏 운영 및 이벤트 챌린지 운영(부) | 02-2116-0835"
문화도시행정국,13,"체육도시과 / 체육사업팀 | 주무관 | • 걷는 도시 노원 사업 • 스마트노원핏 운영 및 이벤트 챌린지 운영(정) • 노원힐링걷기, 걷기 동아리 운영 • 등록스포츠클럽 관련 업무 | 02-2116-0833"
문화도시행정국,13,체육도시과 / 체육시설팀 | 체육시설팀장 | 체육시설팀 업무 총괄 | 02-2116-0841
문화도시행정국,13,체육도시과 / 체육시설팀 | 주무관 | • 공공체육시설 건립 추진 - 마들/불암산/수락산스포츠타운 내 건립·조성 - 시립어울림체육센터 • 공공체육시설 관리 - 상계동 1314 체육용지 활용추진 | 02-2116-0844
문화도시행정국,13,체육도시과 / 체육시설팀 | 주무관 | • 공공체육시설 건립·조성추진 - 중계구민체육센터 신축 - 상계동 파크골프장 조성 추진 - 과기대 지역협력 문화체육 지원센터 신축 - 장암동 군부대 부지 매입 추진 • 공공체육시설 관리 - 공릉구민체육센터 관리 | 02-2116-0842
문화도시행정국,13,"체육도시과 / 체육시설팀 | 주무관 | • 공공체육시설 관리·운영 추진 - 상계구민체육센터 관리 - 육사체육시설 관리 및 운영 - 스포츠타운 관리(마들/초안산/불암산/수락산) - 당고개배드민턴장, 공릉동 다목적구장 관리 | 02-2116-0843"
문화도시행정국,13,"체육도시과 / 체육시설팀 | 주무관 | • 공공체육시설 관리·운영 - 중랑천 제1파크·제2파크골프장 관리 및 운영 - 공원 내 개방형 체육시설 등 관리 - 국궁장, 당고개 인공암벽장 관리 | 02-2116-0845"
문화도시행정국,13,체육도시과 / 체육시설팀 | 주무관 | • 월계 구민체육센터 관리 • 체육시설업 신고 업무 • 수상레저기구 등록·변경 • 수영장 수질점검 관리 | 02-2116-0846
문화도시행정국,13,민원여권과 | 과장 | • 기획예산과 업무 총괄 | 02-2116-3170
문화도시행정국,14,민원여권과 / 민원행정팀 | 민원행정팀장 | 민원행정팀 업무 총괄 | 02-2116-3251
문화도시행정국,14,"민원여권과 / 민원행정팀 | 주무관 | ㆍ과 주요업무계획 수립 및 의회관련 업무 ㆍ예산 및 회계 총괄 ㆍ직원복무 및 수당, 인사, 감사, 교육, 물품, 전산, 보안 등 ㆍ서무업무 총괄 | 02-2116-3250"
문화도시행정국,14,민원여권과 / 민원행정팀 | 주무관 | ㆍ행정우편물 접수․발송 및 우편물 발송요금 납부 ㆍ민원사무편람(민원사무서식 및 홈페이지) 관리 ㆍ노약자 및 배려대상자 등 방문민원인 민원업무 안내 | 02-2116-3245
문화도시행정국,14,"민원여권과 / 민원행정팀 | 주무관 | • 행안부주관 민원서비스 종합평가 총괄 (사회적배려대상자 민원서비스 발굴 및 민원실 비상상황 모의훈련 • 서울시 주관 민원행정서비스(법정)평가 • 민원행정 및 제도개선 기본계획, 월별 민원처리 현황 점검 • 청원 업무(접수 및 배분) • 행정정보 사전공개 및 원문공개 관리 | 02-2116-3248"
문화도시행정국,14,"민원여권과 / 민원행정팀 | 주무관 | ㆍ비밀문서번호 부여․접수 ㆍ행정심판 접수 ㆍ정보공개 처리실태 점검(처리기간 예고, 부존재 처리) | 02-2116-3258"
문화도시행정국,14,"민원여권과 / 민원행정팀 | 주무관 | • 문서(대외문서 및 전자문서) 접수 및 배부 총괄 • 구본청 문서 심사,확인 및 직인 날인 • 공인 등록, 관리 • 정보공개시스템 관리 | 02-2116-3244"
문화도시행정국,14,민원여권과 / 민원행정팀 | 주무관 | ○ 기록물(문서) 관리업무 총괄 | 02-2116-3247
문화도시행정국,14,민원여권과 / 민원처리팀 | 민원처리팀장 | 민원처리팀 업무 총괄 | 02-2116-3264
문화도시행정국,14,"민원여권과 / 민원처리팀 | 주무관 | • 상,하반기 공동주택 안전점검 • 공동주택 관리 전문가 자문단 구성 및 운영 • 행위허가(월계동, 하계동, 상계1,2동) | 02-2116-3839"
