부서명,팀명,직위,이름,전화번호,담당업무
감사담당관,청렴감사팀,감사담당관,○ 감사담당관 업무 총괄,02-3153-8160
새마포담당관,새마포기획팀,주무관,"○ 대외기관(국내상) 응모에 관한 업무
○ 국도 1호선 도시연맹 관련 업무
○ 관광경제국, 감사담당관, 문화재단 현안사항 검토
○ 벤치마킹 관련 업무
○ 정책회의(구청장, 부구청장) 개최",02-3153-8503
새마포담당관,새마포기획팀,주무관,"○ 담당관·과 서무, 근무평정, 예산회계업무
○ 확대간부회의 개최
○ 정기보고 자료 작성
○ 비전 공유공간 운영？관리
○ 교통건설국, 보건소 소관 현안사항 검토
○ 민간위탁, 공유재산 임대 현황",02-3153-8506
행정지원과,총무팀,행정지원과장,○ 행정지원과 업무 총괄,02-3153-8210
행정지원과,총무팀,총무팀장,○ 총무팀 업무 총괄,02-3153-8201
행정지원과,총무팀,주무관,"○ 기관 및 부서 운영 업무추진비 관리 및 회계처리
○ 신년인사회 개최
○ 舊청사(舊의회건물) 관리 업무
○ 기타 타직원에 속하지 않는 업무
○ 주요 시책사업 업무추진비 관리 및 회계처리",02-3153-8202
행정지원과,총무팀,주무관,"○ 국ㆍ과 서무, 예산 편성ㆍ결산, 기록물관리 등
○ 주요업무계획, 구의회 업무보고, 회의자료 등 총괄
○ 직원 조례, 시무식 및 종무식 개최
○ 전 부서 상황보고 관리(집회 포함)
○ 행정지원국 근무평정 관련 업무",02-3153-8204
행정지원과,총무팀,주무관,"○ 주요행사 의전
○ 주간행사·일정표 관리
○ 직원 수첩 제작ㆍ관리
○ 구민의 날 기념식 개최
○ 기타 타직원에 속하지 않는 업무",02-3153-8207
행정지원과,총무팀,주무관,"○ 통합방위협의회 및 통합방위지원본부 운영
○ 부서 일상경비 관련 회계처리
○ 직장민방위대 편성 및 운영
○ 공무원 노동조합 및 공무직 노동조합 관련 업무
○ 행정지원과 기간제근로자 채용ㆍ복무관리
○ 포토부스 관리 업무
○ 치안협의회 지원
○군부대 및 예비군 육성 지원",02-3153-8205
행정지원과,총무팀,주무관,"○ 자매도시 협력사업 및 구정의 대외 교류기반 구축
○ 남북교류협력사업 및 남북교류협력기금 관리",02-3153-8203
행정지원과,총무팀,주무관,"○ 당직 및 종합상황실(청경 복무관리 포함) 운영
○ 공용차량 관리(대 폐차 포함)
○ 팀 특근매식비 지급 업무
○ 부설주차장 관리(정기권 포함)
○ 보안업무 전반(청사방호 및 충무계획 포함)
○ 당직 전담 기간제근로자 채용 복무관리",02-3153-8206
행정지원과,총무팀,비서실장,○ 구청장 비서실 업무 총괄,02-3153-8030
행정지원과,총무팀,주무관,○ 구청장 비서실 업무,02-3153-8031
행정지원과,총무팀,주무관,○ 구청장 비서실 업무,02-3153-8032
행정지원과,총무팀,주무관,○ 구청장 비서실 업무,02-3153-8034
행정지원과,총무팀,주무관,"○ 9층 통합비서실 업무, 부구청장, 관광경제국장",02-3153-8021
행정지원과,총무팀,주무관,"○ 9층 통합비서실 업무
○ 행정지원국장, 재정관리국장",02-3153-8022
행정지원과,총무팀,주무관,"○ 7층 통합비서실 업무 복지동행국장, 교육체육국장, 교통건설국장",02-3153-8024
행정지원과,총무팀,주무관,"○ 전용차량 운전, 각종 행사지원
○ 근조기 설치 및 관리, 문서 수발
○ 공용차량 관리
○ 시민불편 살피미 업무처리 및 환경순찰",02-3153-6212
행정지원과,총무팀,주무관,"○ 공용차량 운전, 각종 행사지원
○ 시민불편 살피미 업무처리 및 환경순찰
○ 근조기 설치 및 관리, 문서수발",02-3153-6214
행정지원과,총무팀,주무관,"○ 공용차량 운전, 각종 행사지원
○ 근조기 설치 및 관리, 문서수발
○ 시민불편 살피미 업무처리 및 환경순찰
○ 공용차량 관리",02-3153-6213
행정지원과,총무팀,주무관,"○ 전용차량 운전, 구청장 의전수행
○ 시민불편 살피미 업무처리 및 환경순찰
○ 각종 행사지원
○ 공용차량관리",02-3153-6218
행정지원과,총무팀,주무관,"○ 공용차량 운전, 각종 행사지원
○ 공용차량 관리
○ 차량관리실 매식비정산
○ 시민불편 살피미 업무처리 및 환경순찰
○ 근조기 설치 및 관리, 문서수발",02-3153-6216
행정지원과,총무팀,주무관,"○ 전용차량 운전, 부구청장 의전수행
○ 시민불편 살피미 업무처리 및 환경순찰
○ 각종 행사지원
○ 공용차량관리",02-3153-6215
행정지원과,총무팀,정무실장,○ 정무실 업무 총괄,02-3153-6311
행정지원과,총무팀,정무실장,○ 365 구민소통실 총괄,02-3153-6311
행정지원과,총무팀,주무관,"○ 365 구민소통실 업무
○ 민원 상담 및 처리",02-3153-6316
행정지원과,총무팀,주무관,"○ 365 구민소통실 업무,민원 상담 및 처리",02-3153-6314
행정지원과,총무팀,정책실장,○ 정책실 업무 총괄,02-3153-6310
행정지원과,총무팀,주무관,○ 구정 주요 현안 사항 업무 지원,02-3153-6317
행정지원과,총무팀,주무관,,
행정지원과,총무팀,청원경찰,○ 청원경찰,02-3153-8100
행정지원과,총무팀,청원경찰,○ 청원경찰,02-3153-8100
행정지원과,총무팀,청원경찰,○ 청원경찰,02-3153-8100
행정지원과,총무팀,청원경찰,○ 청원경찰,02-3153-8100
행정지원과,총무팀,청원경찰,○ 청원경찰,02-3153-8100
행정지원과,총무팀,청원경찰,○ 청원경찰,02-3153-8100
행정지원과,총무팀,청원경찰,○ 청원경찰,02-3153-8100
행정지원과,총무팀,당직담당,,02-3153-0000
자치행정과,동행정팀,자치행정과장,○ 자치행정과장,02-3153-8310
자치행정과,동행정팀,동행정팀장,,02-3153-8301
자치행정과,동행정팀,주무관,"○ 주민전산 및 선거전산에 관한 업무
○ 주민등록에 관한 업무
○ 취학아동 관리에 관한 업무
○ 거주 외국인 지원에 관한 업무
○ 지명위원회 운영에 관한 사항
○ 행정구역 조정에 관한 업무
○ 동주민센터 인감에 관한 업무
○무인민원발급기 구매, 운영 지원",02-3153-8305
자치행정과,동행정팀,주무관,"○ 동 특화사업 평가 지원
○ 진실화해위원회 과거사 진실규명 신청 접수
○ 동 행정차량 운영에 관한 업무
○ 동행정 실적심사에 관한 평가 지원",02-3153-8317
자치행정과,동행정팀,주무관,"○ 법정 선거사무, 선관위 협조 업무
○ 동주민센터 직원 표창, 성과상여금
○ 주요 업무계획, 회의자료 작성
○ 동주민센터 직원 근무평정
○ 각종 지시사항 등 보고업무
○ 서무 및 타 직원 업무에 속하지 않은 사항
○ 민생회복 소비쿠폰 지원사업 운영 총괄
○부서 성과관리에 관한 업무",02-3153-8302
자치행정과,동행정팀,주무관,"○ 부서 예산편성에 관한 업무
○ 동주민센터 상황보고에 관한 업무(일일 일정표 관리)
○ 동주민센터 월별 일정표 관리
○ 동 단체회의 홍보 자료 작성, 관리
○ 동주민센터 예산편성 및 배정
○ 통·반장 조직 조정 및 교육, 통장 위ㆍ해촉 업무
○ 반상회 운영에 관한 업무
○동장월례회의 및 동청소 관련 업무
○ 동행정 실적심사에 관한 업무",02-3153-8303
자치행정과,동행정팀,주무관,"○ 행정사 등록, 폐업 등에 관한 사항
○ 북한이탈주민 지원에 관한 사항
○ 민주화운동 관련자 생활지원금 지급 업무
○ 민주평화통일협의회 관리 및 지원
○ 동 소통데이 관련 업무(소규모 간담회 포함)
○ 동 특화사업 총괄
○ 상생위원회 관련 업무
○구민소리함 관리",02-3153-8304
자치행정과,동행정팀,주무관,"○ 부서 일상경비, 제로페이 회계처리
○ 동 민원도우미 운영에 관한 업무
○ 민생회복 소비쿠폰 지원사업 예산 총괄
○ 부서 봉급, 수당 관리
○ 보안 및 비밀문서 관리
○ 대학생 아르바이트 모집 및 운영 업무
○ 충무계획(주민이동통제, 통일실시계획) 수립
○일반서무(문서접수, 배부 등)",02-3153-8309
홍보미디어과,언론팀,홍보미디어과장,○ 홍보미디어과 업무 총괄,02-3153-8260
홍보미디어과,언론팀,언론팀장,○ 언론팀 업무 총괄,02-3153-8291
홍보미디어과,언론팀,주무관,"○ 예산 및 결산, 복무, 봉급, 회계, 물품관리 등 서무 업무
○ 주요업무계획 관련사항 전반
○ 신문 스크랩 총괄, 국어책임관
○ 팀 내 타 직원에 속하지 않는 사항
○ 구청장 동정자료, 구보발간
○ 기자설명회, 간담회 및 현장 인터뷰 지원
○ 기록물 및 기록물철의 등록, 관리에 관한 사항 등
○홍보대사, 홍보역량강화 교육",02-3153-8262
홍보미디어과,언론팀,주무관,"○ 기자설명회 및 기자회견
○ 구청장 동정자료(포토뉴스 포함)
○ 기획보도 등 보도자료 작성 및 제공(총괄)
○ 언론 상황보고 및 주요 언론 이슈 관리
○ 홍보분석 보고, 주간 및 월간 보도실적 및 계획 보고
○ 언론사 취재 지원 및 기자간담회(지역기자제외)",02-3153-8293
홍보미디어과,언론팀,주무관,"○ 보도자료 작성 및 제공
○ 구청장 동정자료(포토뉴스 포함)
○ 신문 광고 및 공고
○ 언론사 취재지원
○ 지역기자 간담회 및 기자간담회 지원
○ 기자설명회 및 기자회견
○ 신문 구독 및 배부계획",02-3153-8292
홍보미디어과,언론팀,주무관,"○ 보도자료 작성 및 제공, 언론사 취재 지원
○ 기자설명회 및 간담회 지원
○ 언론 홍보 평가계획 수립 및 실적 평가
○ 구보 발간
○ 언론 보도실적 연감 제작
○ 구청장 동정자료(포토뉴스 포함 2, 5주 차 주말)",02-3153-8294
구민안전과,안전기획팀,구민안전과장,,02-3153-9460
구민안전과,안전기획팀,안전기획팀장,,
구민안전과,안전기획팀,안전기획팀장,,
구민안전과,안전기획팀,주무관,"○ 서무
○ 국민안전교육 계획 수립 및 총괄
○ 안전문화대상 공모
○ 안전문화운동 추진협의회
○ 어린이 안전체험교육 추진
○ 마포구 안전관리위원회 운영
○ 재난안전 사업예산 사전검토 및 총괄",02-3153-9462
구민안전과,안전기획팀,주무관,"○ 다중인파 안전관리
○ 안전점검의 날 운영
○ 기능연속성계획 수립
○ 마포구 안전관리계획 수립",02-3153-9466
구민안전과,안전기획팀,주무관,"○ 서무업무 지원(일상경비, 직원 봉급ㆍ수당 등)
○ 홍대관광특구 재난예방 안전전광판 운영
○ 보이는 소화기 관리
○ 구민안전보험 운영
○ 안전신문고 운영 및 실적관리
○ 안전모니터봉사단 및 안전보안관 운영",02-3153-9465
구민안전과,안전기획팀,주무관,"○ 지역축제 안전관리계획 심의 및 점검
○ 안전정책실무조정위원회 운영
○ 한파 대책 총괄
○ ※ 재난 및 안전관리 가산점 직위
○ 화재대피용 방연마스크
○ 재난취약가구 안전점검 및 정비사업
○ 재난안전분야 종사자 의무교육 관리",02-3153-9463
구민안전과,안전기획팀,주무관,"○ 지역축제(옥외행사) 안전관리계획 심의 및 점검 업무 지원
○ 화재대피용 방연마스크 지원
○ 다중인파 안전관리 업무 지원
○ 보이는 소화기 관리 지원",02-3153-9464
민원여권과,민원행정팀,민원여권과장,○ 민원여권과 업무 총괄,02-3153-8460
민원여권과,민원행정팀,민원행정팀장,○ 민원행정팀 업무 총괄,02-3153-8451
민원여권과,민원행정팀,주무관,,
민원여권과,민원행정팀,주무관,"○ 행정정보공개 업무
○ 정보공개심의회 운영 관리
○ 사전정보공표목록 관리",02-3153-9917
민원여권과,민원행정팀,주무관,"○ 대내외 민원행정 평가 업무
○ 국민행복민원실 공모·운영
○ 민원사무편람 관리
○ 서울시 응답소(일반) 전자민원
○ 민원실 시설·환경 개선
○ 민원행정 및 제도개선 업무",02-3153-8455
민원여권과,민원행정팀,주무관,"○ 공인 관리
○ 문서사송실 관리
○ 우편모아시스템 통합관리
○ 대외문서(비밀문서 포함) 접수 및 배부
○ 인감대장 접수 및 배부",02-3153-9918
민원여권과,민원행정팀,주무관,"○ 기록물관리 현장점검
○ 분류기준표 운영
○ 기록관리시스템 운영
○ 기록물관리(생산현황, 이관, 폐기)
○ 종합문서고 운영 관리",02-3153-8453
복지정책과,복지기획팀,복지정책과장,,
복지정책과,복지기획팀,복지기획팀장,○ 복지기획팀 업무 총괄,02-3153-8801
복지정책과,복지기획팀,주무관,"○ 보건복지부 지역복지사업평가, 행안부 지자체 합동평가 총괄
○ 지역사회보장계획(연차별계획) 수립 및 평가
○ 복지정책 개발을 위한 공청회, 포럼, 토론회
○ 사회복지직공무원 인력관리 및 인건비 정산
○ 사회복지의날 복지유공자 표창
○ 호국보훈 감사축제 행사 총괄
○ 현충일유족수송, 6.25참전유공자, 독립유공자 기념행사 추진
○저소득주민의 복지증진에 관한 조례 관리
○ 지역복지사업 기획",02-3153-8803
복지정책과,복지기획팀,주무관,"○ 국？과 서무(총무, 인사, 후생복지, 복무관리)
○ 복지동행국 주간업무자료, 간부회의, 팀장회의 등 지원
○ 복지동행국 구의회업무보고 및 주요업무보고 등 총괄
○ 예산편성ㆍ결산ㆍ회계ㆍ지출 총괄
○ 복지동행국 내 타 부서 및 부서 내 다른 팀에 속하지 않은 사항
○ 참전명예수당 및 생활보조수당(시비) 지급
○ 충무계획 수립",02-3153-8802
복지정책과,복지기획팀,주무관,"○ 보훈회관 운영 및 보훈단체, 의사상자 관리
○ 의사상자 등 예우 및 지원에 관한 조례 관리
○ 독립유공생활지원금 및 국가유공자 사망위로금 지급
○ 보훈대상자 위문금(3.1절,보훈의 달, 독립유공자, 명절) 지급
○ 보호관찰 대상자 등에 대한 사회정착 지원 조례 관리
○ 보훈회관 설치 및 운영에 관한 조례 관리
○ 병역명문가 예우에 관한 조례 관리
○국가보훈대상자 예우 및 지원에 관한 조례 관리
○ 국가보훈대상자 장례서비스 지원
○ 호국보훈 감사축제 행사 지원",02-3153-8807
복지정책과,복지기획팀,주무관,"○ 서무, 회계지출업무
○ 범죄피해자 지원에 관한 조례 관리
○ 서울서부범죄피해자지원센터 지원
○ 저소득층 미세먼지 마스크 빛 방역용품 지원 사업
○ 코로나19 입원,자가격리자 생활지원비 사업 운영 및 관리
○ (이중수급 환수 조치 등)
○ 재해구호업무
○사회복지지설 공익근무요원 관리
○ 보안,물품,기록물, 다산120, 홈페이지 관리 등",02-3153-8805
복지정책과,복지기획팀,주무관,"○ 보훈예우수당 및 참전명예수당(구비) 지급
○ 기타 팀업무지원
○ 차세대행복이음 권한 관리
○ 이태원참사피해자 생계지원",02-3153-8808
실뿌리복지과,실뿌리복지팀,실뿌리복지과장,,
실뿌리복지과,실뿌리복지팀,실뿌리복지팀장,"○ 실뿌리복지팀 업무 총괄
○ 동행센터 사업 기획, 추진 및 모니터링 총괄
○ 리마인드콜 운영 관리
○ 복지사각지대 발굴 및 지원 총괄
○ 고독사 예방 사업 총괄
○ 실뿌리 복지전달체계 총괄",02-3153-6331
실뿌리복지과,실뿌리복지팀,주무관,"○ 실뿌리 복지전달체계 추진
○ 기타 실뿌리복지센터 조성 추진 등
○ 합정7구역 복합문화복지시설 건립 추진(공약사업)
○ 망원2 실뿌리복지센터 조성 추진
○ 1동 1실뿌리복지센터 추진 총괄
○ 노고산 실뿌리복지센터 조성 추진",02-3153-6333
실뿌리복지과,실뿌리복지팀,주무관,"○ 고독사 예방 및 관리 시범사업
○ 사회적 고립 1인가구 실태조사 및 모니터링
○ 고독사 예방 사업
○ 고립예방협의체 구축.운영 및 활성화 사업
○ 동행센터 지원(물품, 공공요금 등)
○ 마포 안심 똑똑! 모바일 안심케어 서비스",02-3153-6334
실뿌리복지과,실뿌리복지팀,주무관,"○ 과 서무(총무, 인사, 후생복지, 복무관리)
○ 부서 내 다른 팀에 속하지 않은 사항
○ 찾아가는 보건복지서비스 사업 추진
○ 주간업무자료, 간부회의, 팀장회의 등 지원
○ 구의회업무보고 및 주요업무보고 등 총괄
○ 예산편성ㆍ결산ㆍ회계ㆍ지출 총괄",02-3153-6332
실뿌리복지과,실뿌리복지팀,주무관,"○ 복지사각지대 발굴 및 지원 사업 추진
○ 복지위기 온라인 상담 창구 및 SMS관리
○ 실뿌리복지소식지 제작·배부
○ 우리동네돌봄단 운영
○ 우리동네 행복+사업 추진
○ 복지대상자 모니터링&케어 사업 추진
○ 명예사회복지공무원 운영",02-3153-6335
어르신동행과,어르신정책팀,어르신동행과장,○ 어르신동행과 업무 총괄,02-3153-8860
어르신동행과,어르신정책팀,주무관,"○ 과 서무 업무, 예산편성, 결산, 비밀문서, 보안업무
○ 민원 지정(유기한ㆍ응답소민원, 정보공개 등)
○ 효도밥상 예산 지출
○ 세외 수입 총괄
○ 업무분장 사무 외 기타 업무
○ 출장, 초과근무 관리 및 수당 지급
○ 업무보고, 주간, 월중 등 회의자료, 기록물관리, 성과관리",02-3153-8852
어르신동행과,어르신정책팀,주무관,"○ 효도밥상 반찬공장(1공장,2공장) 관리 총괄
○ 효도밥상 벤치마킹 및 사업 홍보 관련 업무
○ 효도밥상 민관 협력사업 추진
○ 효도밥상사업관련 마포복지재단 예산편성· 관리 및 집행 등 운영 지원
○ 효도밥상 급식기관 조성관련 예산편성 및 집행
○ 효도밥상 경로당 조성 및 시설관리",02-3153-8853
어르신동행과,어르신정책팀,주무관,"○ 효도밥상 급식기관 관리 총괄
○ 효도밥상 이용자 관리
○ 효도밥상 차량 관리
○ 공약사업 및 공모사업등 관련 업무 지원
○ 효도밥상 급식기관 선정 관련 업무
○ 효도밥상 급식기관 관련 전반적 예산편성(자원봉사자실비포함) 및 운영지원 등
○ 주민참여 효도밥상 사업 관련 조례 제ㆍ개정",02-3153-8854
어르신동행과,어르신정책팀,주무관,"○ 고령친화도시 조성 관련 업무
○ 효도밥상 기탁식, 재단행사 지원 관련 업무
○ 서울밥상 관련 전반적 운영·관리등 사업지원
○ 경로식당 등 무료급식 사업 운영(정부양곡 포함)_자격결정, 시설관리, 지도점검 등
○ 저소득 어르신 보행보조차 지원사업",02-3153-8857
어르신동행과,어르신정책팀,주무관,"○ 효도밥상 경로당 프로그램 운영 및 관리
○ 효도밥상 일자리 인력 관리(동행, 노인, 장애인 등)
○ 효도밥상 관련 업무 지원 등
○ 효도밥상 사업 모니터링, 만족도조사 등",02-3153-8867
장애인복지과,장애인정책팀,장애인복지과장,○ 장애인복지과 업무 총괄,02-3153-8880
장애인복지과,장애인정책팀,장애인정책팀장,○ 장애인정책팀 업무 총괄,02-3153-8881
장애인복지과,장애인정책팀,주무관,"○ (가칭)마포장애인복지타운 건립
○ 장애인복지위원회 및 장애인상생위원회
○ 시각장애인 경로당 조성
○ 장애인문화예술축제(가을문화예술제)
○ 장애인복지계획 수립
○ 장애인전용주차구역(행정, 예산, 시설관리, 기간제관리 등)
○ 장애인복지사업평가
○장애인친화 미용실 조성
○ 장애인복지시책사업 개발 및 추진",02-3153-8883
장애인복지과,장애인정책팀,주무관,"○ 과 서무 업무, 예산편성, 결산, 비밀문서, 복무, 회계처리, 기록물관리
○ 장애인단체 지원 관련 업무(지방보조금, 주민참여예산, 명절 위문 등)
○ 업무 분장 사무 외 기타 업무
○ 업무보고, 주간, 월중 등 회의자료, 성과관리",02-3153-8882
장애인복지과,장애인정책팀,주무관,"○ 장애인식개선 및 차별금지 관련업무
○ 무장애도시 조성 사업 관련 업무(휠체어리프트 버스 지원, 의사소통 지원 사업)(모니터링단 조성 운영 및 교육 사업 추진 등)
○ 장애인복지시책 안내책자 및 점역서 발행
○ 장애인편의시설 관련 업무
○ 장애인편의증진기술지원센터 관련 업무
○ 장애인전용주차구역 업수(행정, 예산, 시설관리, 기간제관리 등)
○ 장애인친화미용실 조성 업무
○장애인편의증진 경사로 설치 업무",02-3153-8879
장애인복지과,장애인정책팀,주무관,"○ 장애인전용 주차구역 위반관리
○ 의견제출 접수 및 의견진술심의회 운영
○ 기타 장애인전용주차구역 단속 관련 업무
○ 시스템관리(스마트단속, 위반관리)
○ 과태료 부과 및 세외수입 제반사항",02-3153-8884
가족정책과,가족정책팀,가족정책과장,○ 가족정책과 업무 총괄,02-3153-8910
가족정책과,가족정책팀,가족정책팀장,"○ 가족정책팀 업무 총괄
○ 신규 가족정책 사업 기획 추진
○ 여성친화도시 조성사업 총괄
○ 가족정책 평가 총괄
○ 양성평등정책 종합 계획 수립 및 사업 총괄
○ 성별영향평가사업 총괄",02-3153-8921
가족정책과,가족정책팀,주무관,"○ 여성친화도시 조성사업 추진(여성친화전담)
○ 여성친화도시 조성관련 중장기계획 및 연도별 시행계획 수립
○ 마포여성동행센터 운영
○ 양성평등주간행사 추진
○ 여성친화도시 네트워크 운영",02-3153-8923
가족정책과,가족정책팀,주무관,"○ 예산, 결산, 지출, 회계 총괄
○ 기타 일반서무 업무
○ 타 팀(직원) 업무에 속하지 않는 업무
○ 맘카페 조성지원
○ 각종 회의자료 작성
○ 정부합동평가, 세외수입업무 총괄
○ 문서관리(배부,발송) 및 부서 홈페이지 관리
○양성평등기금 운용 및 사업 추진
○ 여성가족부 충무계획 수립",02-3153-8922
가족정책과,가족정책팀,주무관,"○ 여성친화시설 조성ㆍ운영(맘카페)
○ 여성 취ㆍ창업 지원(공모사업, 교육사업 등)",02-3153-8924
가족정책과,가족정책팀,주무관,"○ 여성복지법인·시설 운영지원 및 지도, 감독
○ 여성안심서비스 사업 추진(CCTV 관제요원, 불법촬영 시민감시단 등)
○ 공중화장실 불법촬영장비 점검 사업 추진
○ 성인권 및 양성평등(성폭력) 교육 사업 추진
○ 여성, 아동 안전시스템 구축 및 운영
○ 여성안전시설 설치, 관리
○ 경력단절여성 일자리사업 추진
○여성복지시설 입소자 자격 관리
○ 성폭력, 가정폭력 피해자 의료비 지원
○ 공무원 성인지 교육 추진",02-3153-8926
가족정책과,가족정책팀,주무관,"○ 성별영향평가 사업 추진(성별영향평가전담)
○ 특근매식비 지급업무
○ 구석구석 안전모니터링단 운영
○ 여성단체연합회 지원
○ 여성안심택배함 및 안심지킴이집 사업 추진
○ 사회복무요원 관리
○ 맘카페 운영지원
○구민참여단 운영",02-3153-8927
가족정책과,가족정책팀,주무관,"○ 일반서무, 지출, 회계 업무
○ 문서관리(배부,발송) 및 부서 홈페이지 관리
○ 맘카페 조성 지원
○ 사회복무요원 관리
○ 여성안심택배함 및 안심지킴이집 사업 추진
○ 여성안전시설 설치관리
○ 보안, 물품, 기록물, 응답소 120 등
○특근매식비 지급업무",02-3153-8934
가족정책과,가족정책팀,마포여성동행센터,"○ 마포여성동행센터 사업 총괄
○ 센터 사업계획 수립 및 평가 관리
○ 여성의날, 양성평등주간 행사 등 추진
○ 지역사회 협력, 네트워크 등 구축사업
○ 여성 취.창업 지원사업 발굴 및 운영
○ 센터 프로그램 개발 및 운영",02-3153-1621
가족정책과,가족정책팀,마포여성동행센터,"○ 여성의 권익증진 및 여성.가족 활동지원사업 기획 및 운영
○ 여성친화시설 운영 및 관리
○ 주민폭력예방 및 세대별 성인지 교육 사업
○ 센터 프로그램 개발 및 운영",02-3153-1622
가족정책과,가족정책팀,마포여성동행센터,"○ 센터 회계 및 행정사무
○ 센터 공간 대관 및 사용료 관리
○ 시설관리, 비품, 자산취득, 기자재 등 관리
○ 홍보 및 홈페이지 관리
○ 여성친화시설 운영 및 관리",02-3153-1624
가족정책과,가족정책팀,마포여성동행센터,"○ 마포여성동행센터 교육, 행사 등 운영
○ 기타 센터 운영 관련 업무
○ 여성친화시설 운영 및 관리
○ 여성의 권익증진 및 여성？가족 활동 지원사업 운영
○ 주민참여 소모임, 동아리 등 지원사업",02-3153-1623
교육청소년과,교육정책팀,교육청소년과장,,02-3153-8970
교육청소년과,교육정책팀,교육정책팀장,"○ 교육정책팀 업무 총괄
○ 교육발전 전략업무 추진
○ 민선8기 공약사업 추진
○ 교육관련 위원회 운영 관리",02-3153-8951
교육청소년과,교육정책팀,주무관,"○ 국,과서무
○ 기타 다른 팀에 분장되지 않은 업무
○ 가족사랑 캠프 운영
○ 주요업무계획(구청장,구의회 등) 및 회의자료",02-3153-8952
교육청소년과,교육정책팀,주무관,"○ 교육특별구 추진 계획 수립 및 운영
○ 교육발전자문위원회 운영
○ 영어캠프 운영
○ 입시설명회(대입, 수시, 정시)
○ 진로직업체험지원센터 운영지원 및 지도·감독",02-3153-8955
교육청소년과,교육정책팀,주무관,"○ 교육경비보조금 및 학교 관련 업무(유치원,중학교,고등학교)
○ 입학준비금 지원
○ 모범학생 표창
○ 친환경 무상급식 및 급식지원심의위원회 운영
○ 마포인재육성장학재단 업무지원 및 지도감독
○ 과학탐험교실 사업 및 특화교육사업 운영",02-3153-8954
교육청소년과,교육정책팀,주무관,"○ 마포구 미래교육지구 계획수립 및 평가업무(총괄)
○ 미래교육 페스티벌 행사 운영
○ 청소년 동아리 지원사업
○ 지역연계 협력사업(대학연계 등)
○ 서울런 운영 관리",02-3153-8956
교육청소년과,교육정책팀,주무관,"○ 교육경비보조금 계획수립 및 운영(총괄)
○ 학교폭력대책지역협의회 운영
○ 스쿨매니저 지원사업
○ 영어캠프 운영
○ 청소년 성장 및 건강관리 지원 사업
○ 교육경비보조금심의위원회 운영
○ 학교 관련 업무(초등학교)",02-3153-8953
평생학습과,평생교육팀,평생교육팀장,○ 평생교육팀 업무 총괄,02-3153-8971
