No,대분류(국/과),팀명,직위/이름,담당업무,전화번호,기타
80,문화도시행정국,행정지원과 / 총무팀,주무관,○ 기관실 업무,02-2116-4218
81,문화도시행정국,행정지원과 / 총무팀,공무직,○ 기관실 근무,02-2116-4220
82,문화도시행정국,행정지원과 / 총무팀,주무관,○ 차량지원실,02-2116-4225
83,문화도시행정국,행정지원과 / 총무팀,주무관,○ 차량지원실,02-2116-4227
84,문화도시행정국,행정지원과 / 총무팀,주무관,○ 차량지원실,02-2116-4227
85,문화도시행정국,행정지원과 / 총무팀,주무관,○ 차량지원실,02-2116-4224
86,문화도시행정국,행정지원과 / 총무팀,주무관,○ 차량지원실,02-2116-4225
87,문화도시행정국,행정지원과 / 인사팀,주무관,○ 인사교류 ○ 인사관리 및 인사상담,02-2116-3090
88,문화도시행정국,행정지원과 / 인사팀,주무관,"○ 조직 및 정, 현원 관리",02-2116-3088
89,문화도시행정국,행정지원과 / 인사팀,주무관,"○ 임기제 관련 업무 ○ 공무원 수당, 보수 관련 업무",02-2116-3074
90,문화도시행정국,행정지원과 / 인사팀,주무관,○ 복무관리,02-2116-3089
91,문화도시행정국,행정지원과 / 인사팀,주무관,"○ 인사전산, 기록 관리",02-2116-3087
92,문화도시행정국,행정지원과 / 능력개발팀,능력개발팀장,○ 능력개발팀 업무 총괄,02-2116-3095
93,문화도시행정국,행정지원과 / 능력개발팀,주무관,○ 연간교육훈련계획,02-2116-3093
94,문화도시행정국,행정지원과 / 능력개발팀,주무관,○ 상시학습 관리 ○ 학습관리시스템 운영,02-2116-3092
95,문화도시행정국,행정지원과 / 의회노무팀,의회노무팀장,의회노무팀 업무 총괄,02-2116-3879
96,문화도시행정국,행정지원과 / 의회노무팀,주무관,○ 직원휴양소 등,02-2116-3098
97,문화도시행정국,행정지원과 / 의회노무팀,주무관,○ 맞춤형 복지 ○ 기간제 관리 등,02-2116-3075
98,문화도시행정국,행정지원과 / 의회노무팀,주무관,"○ 4대보험, 건강보험",02-2116-3096
99,문화도시행정국,행정지원과 / 비서실,비서실장,○ 비서실장,02-2116-3005
100,문화도시행정국,행정지원과 / 비서실,민원비서,○ 구청장실 민원비서,02-2116-3003
101,문화도시행정국,행정지원과 / 비서실,주무관,○ 차량 운행,02-2116-2999
102,문화도시행정국,행정지원과 / 비서실,수행비서,○ 구청장 차량 운행,02-2116-2999
103,문화도시행정국,행정지원과 / 비서실,수행비서,○ 구청장 수행,02-2116-2998
104,문화도시행정국,행정지원과 / 비서실,주무관,○ 구청장 비서실,02-2116-3009
105,문화도시행정국,행정지원과 / 비서실,주무관,○ 구청장 비서실,02-2116-3008
106,문화도시행정국,행정지원과 / 종합상황실,주무관,○ 종합상황실 근무,02-2116-3299
107,문화도시행정국,행정지원과 / 종합상황실,주무관,○ 종합상황실 근무,02-2116-3302
108,문화도시행정국,행정지원과 / 종합상황실,주무관,○ 종합상황실 근무,02-2116-3301
109,문화도시행정국,행정지원과 / 종합상황실,주무관,○ 종합상황실 근무,02-2116-3000
110,문화도시행정국,자치행정과,자치행정과장,자치행정과 업무 총괄,02-2116-3930
111,문화도시행정국,자치행정과,자치행정팀장,자치행정팀 업무 총괄,02-2116-3183
112,문화도시행정국,자치행정과,주무관,"주민자치회, 동체육회 자치회관 관리 동 축제",02-2116-2436
113,문화도시행정국,자치행정과,주무관,• 불후의 명강 운영 • 성인문해교육 지원사업(국평원·서울시·서평원) • 민간단체 공익활동 지원사업 • 민주시민교육자문위원회 운영,02-2116-3993
114,문화도시행정국,자치행정과,주무관,○ 민간·가정어린이집 인가 및 보조금 지원 ○ 보육전산관리(보육포털사이트 포함) ○ 시간제 어린이집 지원사업 ○ 동행어린이집 지원사업 ○ 서울시 교사대 아동비율 지원사업,02-2116-3727
115,문화도시행정국,자치행정과,주무관,"❍ 도로재산(월계) ❍ 하천재산(상계,하계) - 점용허가, 용도폐지, 점용료(변상금)부과 - 차량출입시설 및 공중선.지하매설물 총괄",02-2116-4008
116,문화도시행정국,자치행정과 / 자치행정팀,주무관,"- 선거, 주민투표제 - 정례동장회의 - 동행정평가 - 행정구역 조정 - 동주민센터 보안관 운영",02-2116-3128
117,문화도시행정국,자치행정과 / 자치행정팀,주무관,주민등록,02-2116-3515
118,문화도시행정국,자치행정과 / 자치행정팀,주무관,"행정사, 고향사랑",02-2116-3133
119,문화도시행정국,자치행정과 / 자치행정팀,주무관,,02-2116-3515
120,문화도시행정국,자치행정과 / 자치지원팀,자치지원팀장,자치지원팀 업무 총괄,02-2116-3132
121,문화도시행정국,자치행정과 / 자치지원팀,주무관,"- 주민제안사업, 주민자치회 실행사업 등",02-2116-3129
122,문화도시행정국,자치행정과 / 자치지원팀,주무관,- 민간단체 공익활동 지원사업,02-2116-3120
123,문화도시행정국,자치행정과 / 자치지원팀,주무관,- 자치회관 운영 관리 - 동주민센터 유휴공간 관리,02-2116-3145
124,문화도시행정국,자치행정과 / 마을공동체팀,마을공동체팀장,마을공동체팀 총괄,02-2116-0676
125,문화도시행정국,자치행정과 / 마을공동체팀,주무관,○ 중계온마을센터 시설 관리 운영 총괄 - 중계온마을센터 입주시설 네트워크 회의 등 ○ 시간선텍제임기제 행정 지원 ○ 마을커뮤니티공간 지도점검 총괄 ○ 공유도시 활성화 ○ 기타 타 직원에 속하지 않은 업무,02-2116-0679
126,문화도시행정국,자치행정과 / 마을공동체팀,주무관,° 마을공동체 공모사업 운영 및 관리 ° 마을지원활동가 관리 ° 자치구 및 대외협력 행사 운영 ° 마을커뮤니티공간 운영 지원 및 관리(월계동·하계동),02-2116-0678
127,문화도시행정국,자치행정과 / 마을공동체팀,주무관,° 마을공동체 공모사업 운영 ° 마을커뮤니티공간(4개소) 운영 지원 및 관리 ° 마을공동체지원센터 업무용 계좌 관리,02-2116-0681
128,문화도시행정국,자치행정과 / 마을공동체팀,주무관,"○ 특화사업 계획 및 운영 ○ 중계온마을센터 공간 (강당, 커뮤니티실) 대관 관리 ○ 중계온마을센터 축제 추진 ○ 마을공동체지원센터 홍보 및 아카이브 ○ 마을커뮤니티공간 운영 지원 및 관리 -영축산어울마루, 공덕골아름드리, 경춘선힐링쉼터, 수락행복발전소, 꿈꾸는상계5동행복발전소, 원터어울마루, 상구네행복발전소",02-2116-0682
129,문화도시행정국,자치행정과 / 민방위팀,민방위팀장,민방위팀 업무 총괄,02-2116-3127
130,문화도시행정국,자치행정과 / 민방위팀,주무관,• 민방위교육,02-2116-3126
131,문화도시행정국,자치행정과 / 민방위팀,주무관,• 사회복무요원 관리,02-2116-3136
132,문화도시행정국,자치행정과 / 민방위팀,주무관,- 충무훈련 운영 - 민방위 장비 물자 관리,02-2116-3125
133,문화도시행정국,문화도시과,문화도시과장,문화도시과 업무 총괄,02-2116-7130
134,문화도시행정국,문화도시과,주무관,"서무(예산, 재무)",02-2116-2732
135,문화도시행정국,문화도시과,주무관,,
136,문화도시행정국,문화도시과,팀장,- 청년 창업지원 - 청년 커리어센터 조성,02-2116-7112
137,문화도시행정국,문화도시과,주무관,"• 금융감독원, 금융관련업무 처리 • 전화권유판매업 신규등록, 변경, 폐업신고 및 민원사항 처리 • 방문판매업 신규등록, 변경, 폐업신고 및 민원사항 처리 • 통신판매업 신규등록, 변경, 폐업신고 및 민원사항 처리 • 소비자보호법 및 전자상거래 관련 민원사항 처리 • 담배 도소매인 등록 및 단속 • 물가조사, 가격표시제 등 물가 관련 업무 • 물가안정모범업소(착한가게) 지정 및 모니터링 자료 평가",02-2116-3474
138,문화도시행정국,문화도시과,주무관,,
139,문화도시행정국,문화도시과,주무관,언론보도,02-2116-3421
140,문화도시행정국,문화도시과,주무관,주민자치,02-2116-2884
141,문화도시행정국,문화도시과,주무관,"◦ 아동보호전문기관 예산 및 회계처리 ◦ 아동학대 사례관리 상담원 보수지급 등 ◦ 아동보호팀 서무(주간주요, 주요업무 등)",02-2116-4412
142,문화도시행정국,문화도시과 / 문화정책팀,주무관,• 문화시설 건립 등 • 시 협력사업 등,02-2116-7133
143,문화도시행정국,문화도시과 / 문화정책팀,주무관,• 노원문화원 운영 지원,02-2116-7134
144,문화도시행정국,문화도시과 / 문화정책팀,주무관,○ 노원문화재단 운영 지원,02-2116-7137
145,문화도시행정국,문화도시과 / 축제관광팀,축제관광팀장,축제관광팀 업무 총괄,02-2116-7141
146,문화도시행정국,문화도시과 / 축제관광팀,주무관,축제담당,02-2116-7143
147,문화도시행정국,문화도시과 / 문화예술팀,문화예술팀장,문화예술팀 업무 총괄,02-2116-7151
148,문화도시행정국,문화도시과 / 문화예술팀,주무관,"• 노래연습장업, PC방 관리, 게임산업관리, 출판업 인허가",02-2116-7153
149,문화도시행정국,문화도시과 / 문화예술팀,주무관,• 불암산아트포레 갤러리 운영 • 마들농요 운영 지원 • 종무행정 및 종교단체 비영리 법인 관련 업무 • 전통사찰 지원,02-2116-7154
150,문화도시행정국,문화도시과 / 문화예술팀,주무관,• 노원전통문화체험관 다완재 운영,02-2116-3766
151,문화도시행정국,체육도시과,체육도시과장,체육도시과 업무 총괄,02-2116-0820
152,문화도시행정국,체육도시과 / 체육정책팀,체육정책팀장,체육정책팀 업무 총괄,02-2116-0821
153,문화도시행정국,체육도시과 / 체육정책팀,주무관,• 서무,02-2116-0822
154,문화도시행정국,체육도시과 / 체육정책팀,주무관,• 노원구체육회 운영 관리 • 체육동호인 단체관리 • 서울노원유나이티드fc 운영지원,02-2116-0823
155,문화도시행정국,체육도시과 / 체육정책팀,주무관,• 동네 물놀이장 운영 • 동체육회 운영 관리 • 시·구민체육대회 지원 • 노원구 태권도시범단 운영,02-2116-0824
156,문화도시행정국,체육도시과 / 체육정책팀,주무관,• 눈썰매장 운영 • (장애인)스포츠강좌이용권 운영 • 사격선수단 운영지원 • 비영리체육법인 관리,02-2116-0825
157,문화도시행정국,체육도시과 / 체육사업팀,체육사업팀장,체육사업팀 업무 총괄,02-2116-0831
158,문화도시행정국,체육도시과 / 체육사업팀,주무관,• 아침/야간 체조교실 운영 • 생활체육교실 운영(볼링·게이트볼·배구·탁구·노르딕워킹) • 학교엘리트체육 사업 운영 • 전통체육교실 운영 • 어르신스포츠시설이용료 지원사업 운영,02-2116-0832
159,문화도시행정국,체육도시과 / 체육사업팀,주무관,"• 노원어르신휴센터 운영 • 노원 힐링걷기· 바르게 걷기사업 추진(노원어르신휴센터) • 생활체육교실 운영(축구, 풋살) • 스마트노원핏 운영 및 이벤트 챌린지 운영(부)",02-2116-0835
160,문화도시행정국,체육도시과 / 체육사업팀,주무관,"• 걷는 도시 노원 사업 • 스마트노원핏 운영 및 이벤트 챌린지 운영(정) • 노원힐링걷기, 걷기 동아리 운영 • 등록스포츠클럽 관련 업무",02-2116-0833
161,문화도시행정국,체육도시과 / 체육시설팀,체육시설팀장,체육시설팀 업무 총괄,02-2116-0841
162,문화도시행정국,체육도시과 / 체육시설팀,주무관,• 공공체육시설 건립 추진 - 마들/불암산/수락산스포츠타운 내 건립·조성 - 시립어울림체육센터 • 공공체육시설 관리 - 상계동 1314 체육용지 활용추진,02-2116-0844
163,문화도시행정국,체육도시과 / 체육시설팀,주무관,• 공공체육시설 건립·조성추진 - 중계구민체육센터 신축 - 상계동 파크골프장 조성 추진 - 과기대 지역협력 문화체육 지원센터 신축 - 장암동 군부대 부지 매입 추진 • 공공체육시설 관리 - 공릉구민체육센터 관리,02-2116-0842
164,문화도시행정국,체육도시과 / 체육시설팀,주무관,"• 공공체육시설 관리·운영 추진 - 상계구민체육센터 관리 - 육사체육시설 관리 및 운영 - 스포츠타운 관리(마들/초안산/불암산/수락산) - 당고개배드민턴장, 공릉동 다목적구장 관리",02-2116-0843
165,문화도시행정국,체육도시과 / 체육시설팀,주무관,"• 공공체육시설 관리·운영 - 중랑천 제1파크·제2파크골프장 관리 및 운영 - 공원 내 개방형 체육시설 등 관리 - 국궁장, 당고개 인공암벽장 관리",02-2116-0845
166,문화도시행정국,체육도시과 / 체육시설팀,주무관,• 월계 구민체육센터 관리 • 체육시설업 신고 업무 • 수상레저기구 등록·변경 • 수영장 수질점검 관리,02-2116-0846
167,문화도시행정국,민원여권과,과장,• 기획예산과 업무 총괄,02-2116-3170
168,문화도시행정국,민원여권과 / 민원행정팀,민원행정팀장,민원행정팀 업무 총괄,02-2116-3251
169,문화도시행정국,민원여권과 / 민원행정팀,주무관,"ㆍ과 주요업무계획 수립 및 의회관련 업무 ㆍ예산 및 회계 총괄 ㆍ직원복무 및 수당, 인사, 감사, 교육, 물품, 전산, 보안 등 ㆍ서무업무 총괄",02-2116-3250
170,문화도시행정국,민원여권과 / 민원행정팀,주무관,ㆍ행정우편물 접수․발송 및 우편물 발송요금 납부 ㆍ민원사무편람(민원사무서식 및 홈페이지) 관리 ㆍ노약자 및 배려대상자 등 방문민원인 민원업무 안내,02-2116-3245
171,문화도시행정국,민원여권과 / 민원행정팀,주무관,"• 행안부주관 민원서비스 종합평가 총괄 (사회적배려대상자 민원서비스 발굴 및 민원실 비상상황 모의훈련 • 서울시 주관 민원행정서비스(법정)평가 • 민원행정 및 제도개선 기본계획, 월별 민원처리 현황 점검 • 청원 업무(접수 및 배분) • 행정정보 사전공개 및 원문공개 관리",02-2116-3248
172,문화도시행정국,민원여권과 / 민원행정팀,주무관,"ㆍ비밀문서번호 부여․접수 ㆍ행정심판 접수 ㆍ정보공개 처리실태 점검(처리기간 예고, 부존재 처리)",02-2116-3258
173,문화도시행정국,민원여권과 / 민원행정팀,주무관,"• 문서(대외문서 및 전자문서) 접수 및 배부 총괄 • 구본청 문서 심사,확인 및 직인 날인 • 공인 등록, 관리 • 정보공개시스템 관리",02-2116-3244
174,문화도시행정국,민원여권과 / 민원행정팀,주무관,○ 기록물(문서) 관리업무 총괄,02-2116-3247
175,문화도시행정국,민원여권과 / 민원처리팀,민원처리팀장,민원처리팀 업무 총괄,02-2116-3264
176,문화도시행정국,민원여권과 / 민원처리팀,주무관,"• 상,하반기 공동주택 안전점검 • 공동주택 관리 전문가 자문단 구성 및 운영 • 행위허가(월계동, 하계동, 상계1,2동)",02-2116-3839
177,문화도시행정국,민원여권과 / 민원처리팀,주무관,❍ 120시․구 통합콜센터(표준상담DB 변경)운영 업무 ❍ 정부24 및 정부민원콜센터(110)관련 업무 ❍ 보조금24 관련 업무 ❍ 무인민원발급기 운영 ❍ 통합민원 지원 및 유기한민원 지원,02-2116-3263
178,문화도시행정국,민원여권과 / 민원처리팀,주무관,"❍ 유기한민원 접수 업무(감사담당관, 탄소중립국, 안전교통건설국) ❍ 유기한민원 실적 관련 업무, 세입징수보고 업무 ❍ 정보공개 접수 및 배부",02-2116-3252
179,문화도시행정국,민원여권과 / 민원처리팀,주무관,"❍ 면허증 발급관련 업무(건설기계, 수렵, 이·미용사, 조리사 면허) ❍ 인허가 신고증 교부 ❍ 외국인 업무(체류지 변경 등)",02-2116-3254
180,문화도시행정국,민원여권과 / 민원처리팀,주무관,자동차등록원부 발급 자동차 등록증 재발급 이륜자동차 등록 수입증지 관리 민원24 관리,02-2116-4076
181,문화도시행정국,민원여권과 / 민원처리팀,주무관,"○ 통합민원 (가족관계증명서 발급 총괄) - 주민등록등초본, 세대열람, 인감, 본인서명사실증명, 출입국사실증명, 가족관계증명 등 발급",02-2116-3255
182,문화도시행정국,민원여권과 / 민원처리팀,주무관,,02-2116-3876
183,문화도시행정국,민원여권과 / 가족관계등록팀,가족관계등록팀장,가족관계등록팀 업무 총괄,02-2116-3276
184,문화도시행정국,민원여권과 / 가족관계등록팀,주무관,"○ 비서(문화도시행정국장,힐링도시국장)",02-2116-3014
185,문화도시행정국,민원여권과 / 가족관계등록팀,주무관,○ 가족관계등록신고 접수(총괄) ○ 인구동향 입력 관리(총괄) ○ 가족관계등록 과태료 ○ 인터넷 신고 및 재판(촉탁) 접수,02-2116-3266
186,문화도시행정국,민원여권과 / 가족관계등록팀,주무관,"교합, 직권정정",02-2116-3272
187,문화도시행정국,민원여권과 / 가족관계등록팀,주무관,-동 신고서(출생.사망) 접수·기록 -출생통보제 및 보호출산제 -직권정정·기록(중계·하계동) - 결격사유 조회 및 접수 - 채무불이행자 관리(우편물 포함) - 가족관계등록신고 접수 지원,02-2116-3269
188,문화도시행정국,민원여권과 / 가족관계등록팀,주무관,,02-2116-3144
